amc_name,quarter_date,aum_crores
ICICI Prudential,2024-12-01,117934.16
ICICI Prudential,2025-03-01,119597.87
ICICI Prudential,2025-06-01,117766.55
ICICI Prudential,2025-09-01,118113.16
ICICI Prudential,2025-12-01,122765.93
ICICI Prudential,2026-03-01,127569.92
Nippon India,2022-03-01,23297.72
Nippon India,2022-06-01,23818.22
Nippon India,2022-09-01,23832.01
Nippon India,2022-12-01,24725.41
Nippon India,2023-03-01,24933.41
Nippon India,2023-06-01,24988.69
Nippon India,2023-09-01,24628.27
Nippon India,2023-12-01,24354.3
Nippon India,2024-03-01,24081.04
Nippon India,2024-06-01,24114.47
Nippon India,2024-09-01,23979.18
Nippon India,2024-12-01,24512.97
Nippon India,2025-03-01,24851.1
Nippon India,2025-06-01,24394.94
Nippon India,2025-09-01,24143.32
Nippon India,2025-12-01,24250.68
Nippon India,2026-03-01,24923.79
Kotak Mahindra,2022-03-01,125163.27
Kotak Mahindra,2022-06-01,129235.76
Kotak Mahindra,2022-09-01,134669.41
Kotak Mahindra,2022-12-01,132789.17
Kotak Mahindra,2023-03-01,138104.68
Kotak Mahindra,2023-06-01,138594.6
Kotak Mahindra,2023-09-01,141290.46
Kotak Mahindra,2023-12-01,145974.3
Kotak Mahindra,2024-03-01,146846.46
Kotak Mahindra,2024-06-01,151337.39
Kotak Mahindra,2024-09-01,156464.51
Kotak Mahindra,2024-12-01,157281.11
Kotak Mahindra,2025-03-01,158525.37
Kotak Mahindra,2025-06-01,164848.73
Kotak Mahindra,2025-09-01,171529.46
Kotak Mahindra,2025-12-01,179724.82
Kotak Mahindra,2026-03-01,176636.78
Axis Mutual Fund,2022-03-01,82015.8
Axis Mutual Fund,2022-06-01,85412.87
Axis Mutual Fund,2022-09-01,86637.22
Axis Mutual Fund,2022-12-01,86250.87
Axis Mutual Fund,2023-03-01,87311.35
Axis Mutual Fund,2023-06-01,86493.24
Axis Mutual Fund,2023-09-01,89098.4
Axis Mutual Fund,2023-12-01,90162.8
Axis Mutual Fund,2024-03-01,90611.96
Axis Mutual Fund,2024-06-01,90401.37
Axis Mutual Fund,2024-09-01,89694.14
Axis Mutual Fund,2024-12-01,92828.61
Axis Mutual Fund,2025-03-01,91976.04
Axis Mutual Fund,2025-06-01,92896.75
Axis Mutual Fund,2025-09-01,92520.98
Axis Mutual Fund,2025-12-01,94763.44
Axis Mutual Fund,2026-03-01,98546.18
UTI Mutual Fund,2022-03-01,105413.9
UTI Mutual Fund,2022-06-01,109441.33
UTI Mutual Fund,2022-09-01,111224.95
UTI Mutual Fund,2022-12-01,114033.79
UTI Mutual Fund,2023-03-01,112542.9
UTI Mutual Fund,2023-06-01,117777.51
UTI Mutual Fund,2023-09-01,120688.76
UTI Mutual Fund,2023-12-01,119686.27
UTI Mutual Fund,2024-03-01,123676.89
UTI Mutual Fund,2024-06-01,127919.95
UTI Mutual Fund,2024-09-01,134027.0
UTI Mutual Fund,2024-12-01,133454.44
UTI Mutual Fund,2025-03-01,133724.19
UTI Mutual Fund,2025-06-01,133000.44
UTI Mutual Fund,2025-09-01,132106.51
UTI Mutual Fund,2025-12-01,132954.23
UTI Mutual Fund,2026-03-01,133591.16
Aditya Birla Sun Life,2022-03-01,100262.31
Aditya Birla Sun Life,2022-06-01,98542.42
Aditya Birla Sun Life,2022-09-01,97965.16
Aditya Birla Sun Life,2022-12-01,102293.19
Aditya Birla Sun Life,2023-03-01,106036.85
Aditya Birla Sun Life,2023-06-01,105454.9
Aditya Birla Sun Life,2023-09-01,110513.18
Aditya Birla Sun Life,2023-12-01,113622.42
Aditya Birla Sun Life,2024-03-01,116153.4
Aditya Birla Sun Life,2024-06-01,116309.1
Aditya Birla Sun Life,2024-09-01,120391.34
Aditya Birla Sun Life,2024-12-01,119690.4
Aditya Birla Sun Life,2025-03-01,122997.89
Aditya Birla Sun Life,2025-06-01,127354.6
Aditya Birla Sun Life,2025-09-01,126361.11
Aditya Birla Sun Life,2025-12-01,130225.62
Aditya Birla Sun Life,2026-03-01,134179.07
Mirae Asset,2022-03-01,120229.37
Mirae Asset,2022-06-01,123482.64
Mirae Asset,2022-09-01,129653.65
Mirae Asset,2022-12-01,135027.46
Mirae Asset,2023-03-01,136920.42
Mirae Asset,2023-06-01,134632.99
Mirae Asset,2023-09-01,135375.52
Mirae Asset,2023-12-01,137547.01
Mirae Asset,2024-03-01,139442.13
Mirae Asset,2024-06-01,145887.27
Mirae Asset,2024-09-01,149348.17
Mirae Asset,2024-12-01,148812.11
Mirae Asset,2025-03-01,152299.53
Mirae Asset,2025-06-01,157753.81
Mirae Asset,2025-09-01,155253.98
Mirae Asset,2025-12-01,156312.82
Mirae Asset,2026-03-01,154007.87
Tata Mutual Fund,2022-03-01,86398.01
Tata Mutual Fund,2022-06-01,86521.4
Tata Mutual Fund,2022-09-01,89201.97
Tata Mutual Fund,2022-12-01,93252.41
Tata Mutual Fund,2023-03-01,94807.71
Tata Mutual Fund,2023-06-01,97619.17
Tata Mutual Fund,2023-09-01,99215.92
Tata Mutual Fund,2023-12-01,101299.85
Tata Mutual Fund,2024-03-01,101156.1
Tata Mutual Fund,2024-06-01,106177.52
Tata Mutual Fund,2024-09-01,110760.46
Tata Mutual Fund,2024-12-01,113885.11
Tata Mutual Fund,2025-03-01,118503.66
Tata Mutual Fund,2025-06-01,116343.64
Tata Mutual Fund,2025-09-01,116014.24
Tata Mutual Fund,2025-12-01,119955.98
Tata Mutual Fund,2026-03-01,118427.81
