txn_id,investor_id,scheme_code,txn_date,amount,txn_type,age_band,income_bucket,city_tier,state
128,2657,118834,2025-04-26,35202.26,SIP,25-34,50L+,Tier 1,Maharashtra
129,1532,144321,2024-12-12,32523.69,SIP,65+,5L-10L,Tier 2,Kerala
130,3672,124567,2024-12-07,317594.08,Lumpsum,55-64,20L-50L,Tier 3,West Bengal
131,4936,119418,2024-09-15,7396.76,SIP,45-54,20L-50L,Tier 2,Madhya Pradesh
132,3878,131234,2022-06-20,36641.9,SIP,25-34,10L-20L,Tier 1,Rajasthan
133,3224,127890,2024-05-13,28568.53,SIP,35-44,50L+,Tier 3,Maharashtra
134,974,147210,2022-12-23,417575.93,Redemption,25-34,5L-10L,Tier 3,Uttar Pradesh
135,2817,152167,2025-05-27,946924.82,Lumpsum,18-24,20L-50L,Tier 3,Maharashtra
136,1288,151234,2025-06-28,31537.98,SIP,55-64,20L-50L,Tier 1,Karnataka
137,408,121098,2024-12-12,19678.85,SIP,45-54,20L-50L,Tier 3,Karnataka
138,3576,138543,2023-11-29,891784.81,Lumpsum,45-54,20L-50L,Tier 2,West Bengal
139,3259,140987,2024-04-27,30460.69,SIP,25-34,< 5L,Tier 2,West Bengal
140,4221,142517,2022-07-15,35217.66,SIP,45-54,< 5L,Tier 1,Madhya Pradesh
141,3136,138291,2025-05-19,11309.02,SIP,55-64,< 5L,Tier 1,Uttar Pradesh
142,2569,139847,2025-04-23,2978.12,SIP,45-54,< 5L,Tier 2,Uttar Pradesh
143,4296,148540,2023-03-02,479882.1,Lumpsum,55-64,< 5L,Tier 3,Telangana
144,2622,144321,2023-10-26,222312.97,Redemption,18-24,20L-50L,Tier 2,West Bengal
145,1866,154321,2025-09-29,675714.42,Lumpsum,55-64,50L+,Tier 3,Uttar Pradesh
146,1839,140987,2023-05-01,33353.78,SIP,55-64,20L-50L,Tier 2,Tamil Nadu
147,1553,153456,2023-04-02,9037.91,SIP,25-34,5L-10L,Tier 1,Karnataka
148,847,150345,2022-05-08,284504.19,Redemption,45-54,20L-50L,Tier 3,Maharashtra
149,2888,152167,2025-10-05,37831.42,SIP,35-44,< 5L,Tier 2,Delhi
150,4136,145672,2026-01-06,732774.66,Lumpsum,45-54,10L-20L,Tier 2,Kerala
151,1890,153456,2022-01-18,183259.43,Lumpsum,25-34,20L-50L,Tier 2,West Bengal
152,2227,134567,2026-01-25,46706.04,SIP,18-24,10L-20L,Tier 2,Madhya Pradesh
153,3844,118765,2024-11-08,76395.11,Lumpsum,45-54,< 5L,Tier 2,Karnataka
154,3733,132198,2025-12-17,9296.09,SIP,25-34,20L-50L,Tier 3,Maharashtra
155,4203,129876,2023-11-16,909574.4,Lumpsum,65+,20L-50L,Tier 1,Delhi
156,4037,138291,2025-06-07,10250.54,SIP,25-34,< 5L,Tier 2,West Bengal
157,3080,129876,2022-08-14,4618.32,SIP,65+,20L-50L,Tier 1,Kerala
158,598,120987,2024-04-16,1785.45,SIP,18-24,20L-50L,Tier 1,Karnataka
159,997,134567,2026-02-24,47698.2,SIP,18-24,20L-50L,Tier 2,Uttar Pradesh
160,4606,152167,2024-08-05,29310.1,SIP,65+,10L-20L,Tier 2,West Bengal
161,2572,138543,2025-01-13,37908.56,SIP,18-24,20L-50L,Tier 2,Kerala
162,3458,121098,2022-06-06,38185.42,SIP,45-54,10L-20L,Tier 2,Maharashtra
163,2961,143256,2023-12-29,15977.68,SIP,35-44,50L+,Tier 1,Delhi
164,2566,132198,2026-03-21,48216.76,SIP,35-44,50L+,Tier 1,Haryana
165,2595,121098,2024-10-09,14886.3,SIP,45-54,5L-10L,Tier 1,Uttar Pradesh
166,3172,131234,2026-04-12,584254.61,Lumpsum,25-34,20L-50L,Tier 2,Maharashtra
167,1800,153456,2026-02-03,24824.86,SIP,45-54,20L-50L,Tier 1,Delhi
168,3766,140987,2024-12-25,252315.62,Redemption,65+,50L+,Tier 2,Tamil Nadu
169,2204,136789,2024-02-25,12731.92,SIP,65+,10L-20L,Tier 1,Rajasthan
170,4071,119418,2022-06-14,572167.8,Lumpsum,45-54,20L-50L,Tier 2,Madhya Pradesh
171,2732,125497,2024-06-08,204540.96,Redemption,65+,< 5L,Tier 1,Tamil Nadu
172,3773,152167,2022-05-19,419691.08,Lumpsum,25-34,5L-10L,Tier 3,Kerala
173,2571,118834,2022-05-26,45093.15,SIP,65+,5L-10L,Tier 3,Madhya Pradesh
174,2983,116543,2025-06-08,413230.61,Redemption,45-54,50L+,Tier 1,Kerala
175,3071,118765,2024-04-12,363564.81,Lumpsum,65+,20L-50L,Tier 1,Tamil Nadu
176,4294,151234,2026-03-07,16642.1,SIP,18-24,5L-10L,Tier 1,Kerala
177,4087,123456,2024-11-18,42864.28,SIP,25-34,20L-50L,Tier 2,Haryana
178,1218,145672,2024-02-14,18142.65,SIP,25-34,10L-20L,Tier 2,Maharashtra
179,4031,124567,2022-06-25,120046.01,Redemption,18-24,5L-10L,Tier 3,Uttar Pradesh
180,748,131234,2025-08-09,33595.62,SIP,35-44,10L-20L,Tier 3,Gujarat
181,2520,138291,2024-04-04,34775.26,SIP,35-44,20L-50L,Tier 3,Tamil Nadu
182,2068,122639,2025-12-27,246820.81,Redemption,18-24,50L+,Tier 2,Telangana
183,1490,149012,2025-08-16,30931.4,SIP,55-64,5L-10L,Tier 3,Tamil Nadu
184,673,145672,2024-09-08,31801.0,Redemption,55-64,5L-10L,Tier 1,Telangana
185,1793,122639,2023-03-06,18394.63,SIP,65+,< 5L,Tier 3,Telangana
186,199,142517,2024-05-21,15804.42,SIP,18-24,50L+,Tier 3,Uttar Pradesh
187,598,138543,2022-09-02,3616.88,SIP,18-24,20L-50L,Tier 1,Karnataka
188,279,147839,2023-01-02,980413.33,Lumpsum,18-24,20L-50L,Tier 1,Haryana
189,4748,141234,2024-04-24,14663.6,SIP,55-64,10L-20L,Tier 2,Uttar Pradesh
190,469,115678,2023-04-19,612127.53,Lumpsum,65+,5L-10L,Tier 2,Kerala
191,1521,141234,2022-04-02,25865.11,SIP,18-24,10L-20L,Tier 1,Uttar Pradesh
192,1082,142517,2024-05-08,241505.53,Lumpsum,25-34,50L+,Tier 2,Rajasthan
193,3005,145672,2024-09-17,5517.71,SIP,55-64,< 5L,Tier 1,Delhi
194,659,154321,2023-10-22,775541.42,Lumpsum,25-34,5L-10L,Tier 1,Karnataka
195,1987,128472,2022-08-31,245910.91,Lumpsum,35-44,50L+,Tier 3,Gujarat
196,1495,152167,2025-04-22,2720.92,SIP,55-64,50L+,Tier 3,Uttar Pradesh
197,632,147210,2022-03-20,431737.75,Lumpsum,18-24,5L-10L,Tier 3,Delhi
198,631,124567,2026-02-09,18742.73,SIP,65+,20L-50L,Tier 3,Rajasthan
199,83,129876,2026-02-08,340262.15,Redemption,25-34,10L-20L,Tier 3,Uttar Pradesh
200,1755,139847,2022-11-28,10396.5,SIP,25-34,20L-50L,Tier 2,Uttar Pradesh
201,3512,123456,2023-05-21,14932.08,SIP,18-24,20L-50L,Tier 1,Haryana
202,774,142517,2024-09-16,11063.2,SIP,65+,10L-20L,Tier 1,Delhi
203,4140,138543,2025-08-30,31052.14,SIP,25-34,< 5L,Tier 1,Uttar Pradesh
204,2229,146783,2022-02-08,15984.38,Lumpsum,35-44,10L-20L,Tier 2,Tamil Nadu
205,2803,122639,2022-12-13,1041.06,SIP,55-64,< 5L,Tier 1,Haryana
206,390,115678,2023-06-06,320774.22,Redemption,65+,20L-50L,Tier 2,Haryana
207,918,149012,2022-01-16,17311.87,SIP,18-24,5L-10L,Tier 2,West Bengal
208,4671,125497,2025-09-09,66607.3,Redemption,45-54,5L-10L,Tier 1,Tamil Nadu
209,4181,134567,2026-05-27,448525.18,Redemption,55-64,5L-10L,Tier 3,Tamil Nadu
210,3054,144321,2022-11-06,45113.86,SIP,18-24,10L-20L,Tier 1,Karnataka
211,1112,150345,2022-02-26,2120.64,SIP,45-54,5L-10L,Tier 1,Haryana
212,2007,135773,2024-02-27,33070.14,SIP,65+,< 5L,Tier 3,Maharashtra
213,1513,135773,2024-08-31,643350.56,Lumpsum,18-24,20L-50L,Tier 3,Gujarat
214,2285,150345,2023-08-19,80012.58,Lumpsum,35-44,5L-10L,Tier 1,Telangana
215,4047,123456,2024-05-21,46235.91,SIP,18-24,50L+,Tier 1,West Bengal
216,787,121098,2025-12-27,319348.29,Redemption,65+,10L-20L,Tier 2,West Bengal
217,1736,147210,2024-12-06,13519.98,SIP,35-44,10L-20L,Tier 1,Gujarat
218,1924,150345,2024-08-26,190618.14,Redemption,18-24,5L-10L,Tier 1,Telangana
219,3173,138543,2023-03-23,89405.59,Lumpsum,65+,50L+,Tier 2,West Bengal
220,2101,133322,2025-09-03,146901.62,Redemption,25-34,5L-10L,Tier 2,Gujarat
221,3023,136789,2022-11-29,288511.29,Lumpsum,45-54,50L+,Tier 1,Maharashtra
222,3719,124567,2022-04-18,14705.44,SIP,65+,10L-20L,Tier 3,Maharashtra
223,2309,121098,2026-01-10,726689.22,Lumpsum,55-64,50L+,Tier 2,West Bengal
224,3476,118765,2026-04-29,487148.11,Redemption,65+,20L-50L,Tier 3,Gujarat
225,2284,150345,2024-09-09,27764.28,SIP,45-54,< 5L,Tier 3,Uttar Pradesh
226,1114,127890,2024-05-10,779902.53,Lumpsum,55-64,50L+,Tier 1,Rajasthan
227,2522,118834,2022-05-13,130457.94,Redemption,35-44,20L-50L,Tier 2,Kerala
228,3091,144321,2025-10-11,12823.21,SIP,35-44,10L-20L,Tier 1,Karnataka
229,4818,138543,2023-03-01,49209.89,SIP,55-64,10L-20L,Tier 2,Madhya Pradesh
230,1233,125497,2024-02-04,286580.88,Lumpsum,45-54,50L+,Tier 3,Maharashtra
231,2298,135773,2023-02-24,277283.91,Redemption,45-54,10L-20L,Tier 3,Tamil Nadu
232,2551,129876,2023-01-16,20235.69,SIP,25-34,< 5L,Tier 3,Telangana
233,3744,143256,2024-12-05,409348.88,Lumpsum,25-34,50L+,Tier 1,Rajasthan
234,3926,150345,2023-07-07,887928.93,Lumpsum,18-24,5L-10L,Tier 2,Telangana
235,1604,115678,2024-03-08,6302.03,SIP,45-54,< 5L,Tier 1,Delhi
236,2156,151234,2022-10-05,379870.13,Redemption,65+,10L-20L,Tier 2,Maharashtra
237,401,123456,2026-02-18,7716.7,SIP,35-44,20L-50L,Tier 1,Kerala
238,725,142517,2023-06-02,37944.29,SIP,25-34,50L+,Tier 1,Karnataka
239,3850,131234,2022-12-12,402333.97,Redemption,18-24,20L-50L,Tier 1,Gujarat
240,3058,132198,2022-12-10,44195.15,Lumpsum,35-44,50L+,Tier 3,Maharashtra
241,3189,119418,2025-06-29,336603.39,Redemption,55-64,5L-10L,Tier 2,Delhi
242,2674,147839,2024-12-31,422457.48,Redemption,65+,50L+,Tier 2,West Bengal
243,1865,136789,2023-06-08,24182.61,Redemption,18-24,5L-10L,Tier 2,Madhya Pradesh
244,3011,154321,2023-12-21,18799.2,SIP,45-54,< 5L,Tier 1,Telangana
245,821,131234,2023-03-26,53968.82,Redemption,55-64,< 5L,Tier 2,Karnataka
246,1049,138543,2022-01-29,37945.81,SIP,35-44,20L-50L,Tier 3,Karnataka
247,194,138543,2023-11-09,193543.25,Redemption,65+,< 5L,Tier 2,Madhya Pradesh
248,2274,146783,2022-10-25,29892.43,SIP,25-34,< 5L,Tier 1,Gujarat
249,2651,136789,2024-06-16,334310.83,Lumpsum,45-54,20L-50L,Tier 1,Delhi
250,4649,146783,2024-03-09,16132.57,SIP,55-64,20L-50L,Tier 3,Uttar Pradesh
251,610,148540,2025-01-03,39853.1,SIP,55-64,10L-20L,Tier 3,Karnataka
252,3929,123456,2023-02-23,19705.03,SIP,55-64,10L-20L,Tier 3,Gujarat
253,4993,136789,2024-10-12,40643.32,SIP,25-34,20L-50L,Tier 2,Karnataka
254,2889,116543,2022-11-28,14910.79,SIP,18-24,10L-20L,Tier 3,Telangana
255,3988,131234,2025-08-29,44284.62,SIP,25-34,10L-20L,Tier 1,Tamil Nadu
256,1761,138543,2024-02-14,43707.21,SIP,45-54,20L-50L,Tier 2,Delhi
257,2413,115678,2023-02-11,397782.52,Redemption,35-44,50L+,Tier 2,Telangana
258,4974,120987,2024-08-03,223906.98,Redemption,25-34,50L+,Tier 3,Haryana
259,4615,154321,2024-01-10,26963.51,SIP,18-24,< 5L,Tier 1,Maharashtra
260,3586,120987,2022-12-13,43512.17,SIP,18-24,10L-20L,Tier 1,Kerala
261,3246,137654,2025-04-19,390582.12,Redemption,55-64,10L-20L,Tier 2,Kerala
262,787,147210,2026-05-05,382136.87,Lumpsum,65+,10L-20L,Tier 2,West Bengal
263,3688,120987,2022-03-30,33516.37,SIP,55-64,10L-20L,Tier 2,Kerala
264,3024,142517,2022-02-22,402019.67,Redemption,18-24,50L+,Tier 3,Gujarat
265,1098,140987,2022-02-02,294134.34,Redemption,65+,50L+,Tier 3,Maharashtra
266,4363,135773,2025-04-22,39503.52,SIP,18-24,50L+,Tier 2,Delhi
267,4044,136789,2024-08-08,325163.16,Redemption,18-24,10L-20L,Tier 2,Rajasthan
268,3837,122639,2023-01-25,502719.59,Lumpsum,25-34,10L-20L,Tier 3,West Bengal
269,1793,138291,2024-12-29,582634.74,Lumpsum,65+,< 5L,Tier 3,Telangana
270,54,140987,2024-12-02,20260.07,SIP,18-24,< 5L,Tier 2,Uttar Pradesh
271,4792,122639,2022-04-11,45880.22,SIP,45-54,20L-50L,Tier 3,Delhi
272,2833,135773,2023-03-05,365356.97,Redemption,45-54,50L+,Tier 3,Maharashtra
273,2555,127890,2023-01-09,24781.45,SIP,25-34,5L-10L,Tier 2,Maharashtra
274,611,128472,2023-12-16,859537.67,Lumpsum,45-54,10L-20L,Tier 1,Kerala
275,4831,153456,2023-11-13,3631.82,SIP,35-44,10L-20L,Tier 1,Kerala
276,416,127890,2022-06-13,8829.52,SIP,45-54,5L-10L,Tier 2,Tamil Nadu
277,4367,122639,2025-10-09,110583.4,Redemption,25-34,5L-10L,Tier 2,Rajasthan
278,4113,149012,2026-05-20,10858.39,SIP,45-54,20L-50L,Tier 1,West Bengal
279,1783,134567,2022-04-10,50316.56,Redemption,45-54,5L-10L,Tier 2,West Bengal
280,3283,129876,2023-06-01,17662.13,SIP,25-34,10L-20L,Tier 2,Haryana
281,1798,140987,2025-05-16,24884.4,SIP,18-24,< 5L,Tier 1,Madhya Pradesh
282,3128,132198,2023-02-22,995766.55,Lumpsum,45-54,20L-50L,Tier 1,Haryana
283,358,149012,2024-06-16,14412.31,SIP,35-44,< 5L,Tier 2,Telangana
284,2097,120987,2024-02-03,20943.35,SIP,45-54,10L-20L,Tier 3,Madhya Pradesh
285,2451,118834,2024-06-01,30341.82,SIP,18-24,< 5L,Tier 1,Haryana
286,3208,147210,2023-11-08,265811.36,Redemption,55-64,10L-20L,Tier 3,Tamil Nadu
287,1654,120987,2026-01-17,149868.95,Redemption,45-54,20L-50L,Tier 1,Haryana
288,1488,122639,2023-12-04,31068.13,SIP,65+,20L-50L,Tier 2,Delhi
289,4624,122639,2026-02-18,218971.04,Lumpsum,45-54,10L-20L,Tier 3,Karnataka
290,4403,119418,2025-10-10,13612.14,SIP,55-64,5L-10L,Tier 3,Telangana
291,1422,135773,2026-01-20,340587.78,Lumpsum,45-54,< 5L,Tier 1,Gujarat
292,3888,144321,2022-04-09,168907.4,Redemption,35-44,50L+,Tier 2,Rajasthan
293,4355,125497,2023-10-28,329157.85,Redemption,55-64,50L+,Tier 3,West Bengal
294,2610,147210,2025-11-03,155714.73,Redemption,25-34,< 5L,Tier 1,Maharashtra
295,679,147210,2023-06-28,136255.83,Lumpsum,45-54,5L-10L,Tier 2,Madhya Pradesh
296,592,139847,2025-02-11,34284.12,SIP,35-44,50L+,Tier 2,Maharashtra
297,4347,145672,2023-03-27,363223.37,Lumpsum,65+,10L-20L,Tier 1,Madhya Pradesh
