scheme_code,fund_name,sector,stock_name,holding_weight_pct,market_cap_category
143256,HDFC Mid-Cap Opportunities Fund Direct Growth,IT,HCL Tech,7.18,Large Cap
143256,HDFC Mid-Cap Opportunities Fund Direct Growth,Banking,Axis Bank,0.12,Large Cap
143256,HDFC Mid-Cap Opportunities Fund Direct Growth,FMCG,HUL,6.31,Small Cap
143256,HDFC Mid-Cap Opportunities Fund Direct Growth,Metals,Hindalco,12.25,Large Cap
137654,ICICI Pru Midcap Fund Direct Growth,FMCG,Nestle India,4.33,Large Cap
137654,ICICI Pru Midcap Fund Direct Growth,Auto,Tata Motors,11.97,Mid Cap
137654,ICICI Pru Midcap Fund Direct Growth,Power,NTPC,18.52,Large Cap
137654,ICICI Pru Midcap Fund Direct Growth,Real Estate,DLF,17.17,Large Cap
137654,ICICI Pru Midcap Fund Direct Growth,Infrastructure,L&T,7.39,Small Cap
137654,ICICI Pru Midcap Fund Direct Growth,Telecom,Indus Towers,14.42,Mid Cap
137654,ICICI Pru Midcap Fund Direct Growth,Healthcare,Medanta,3.43,Mid Cap
137654,ICICI Pru Midcap Fund Direct Growth,Energy,ONGC,8.23,Mid Cap
137654,ICICI Pru Midcap Fund Direct Growth,Consumer Durables,Bajaj Electricals,5.39,Mid Cap
137654,ICICI Pru Midcap Fund Direct Growth,Metals,SAIL,5.86,Small Cap
137654,ICICI Pru Midcap Fund Direct Growth,Chemicals,SRF,2.77,Small Cap
137654,ICICI Pru Midcap Fund Direct Growth,Banking,Kotak Mahindra Bank,0.51,Large Cap
149012,Nippon India Midcap Fund Direct Growth,Auto,Tata Motors,5.01,Small Cap
149012,Nippon India Midcap Fund Direct Growth,FMCG,HUL,4.91,Large Cap
149012,Nippon India Midcap Fund Direct Growth,Real Estate,DLF,17.61,Small Cap
149012,Nippon India Midcap Fund Direct Growth,Banking,SBI,9.97,Small Cap
149012,Nippon India Midcap Fund Direct Growth,Insurance,Birla Sun Life,5.4,Mid Cap
149012,Nippon India Midcap Fund Direct Growth,Pharma,Sun Pharma,18.65,Large Cap
149012,Nippon India Midcap Fund Direct Growth,Metals,JSW Steel,24.98,Small Cap
149012,Nippon India Midcap Fund Direct Growth,Consumer Durables,Havells,13.48,Mid Cap
124567,Kotak Emerging Equity Fund Direct Growth,Healthcare,Max Healthcare,12.23,Large Cap
124567,Kotak Emerging Equity Fund Direct Growth,Banking,SBI,28.62,Mid Cap
124567,Kotak Emerging Equity Fund Direct Growth,Infrastructure,Siemens,16.05,Mid Cap
124567,Kotak Emerging Equity Fund Direct Growth,Auto,Maruti Suzuki,14.69,Large Cap
124567,Kotak Emerging Equity Fund Direct Growth,IT,TCS,3.8,Small Cap
124567,Kotak Emerging Equity Fund Direct Growth,Chemicals,Atul Ltd,24.61,Large Cap
132198,SBI ELSS Tax Saver Fund Direct Growth,Auto,M&M,12.97,Small Cap
132198,SBI ELSS Tax Saver Fund Direct Growth,Metals,Tata Steel,13.72,Small Cap
132198,SBI ELSS Tax Saver Fund Direct Growth,Healthcare,Max Healthcare,45.27,Small Cap
132198,SBI ELSS Tax Saver Fund Direct Growth,Pharma,Sun Pharma,7.45,Large Cap
132198,SBI ELSS Tax Saver Fund Direct Growth,IT,Infosys,20.59,Mid Cap
146783,HDFC ELSS Tax Saver Fund Direct Growth,Telecom,Railtel,26.39,Small Cap
146783,HDFC ELSS Tax Saver Fund Direct Growth,Chemicals,Atul Ltd,13.72,Small Cap
146783,HDFC ELSS Tax Saver Fund Direct Growth,Pharma,Cipla,14.52,Small Cap
146783,HDFC ELSS Tax Saver Fund Direct Growth,Metals,Vedanta,21.12,Small Cap
146783,HDFC ELSS Tax Saver Fund Direct Growth,Healthcare,Apollo Hospitals,0.11,Large Cap
146783,HDFC ELSS Tax Saver Fund Direct Growth,Consumer Durables,Havells,24.14,Mid Cap
141234,ICICI Pru ELSS Tax Saver Fund Direct Growth,Energy,Reliance Industries,15.43,Large Cap
141234,ICICI Pru ELSS Tax Saver Fund Direct Growth,Infrastructure,Adani Ports,13.26,Mid Cap
141234,ICICI Pru ELSS Tax Saver Fund Direct Growth,Telecom,Indus Towers,19.61,Small Cap
141234,ICICI Pru ELSS Tax Saver Fund Direct Growth,Insurance,SBI Life,18.61,Small Cap
141234,ICICI Pru ELSS Tax Saver Fund Direct Growth,FMCG,Britannia,10.98,Mid Cap
141234,ICICI Pru ELSS Tax Saver Fund Direct Growth,Pharma,Cipla,6.36,Large Cap
141234,ICICI Pru ELSS Tax Saver Fund Direct Growth,Chemicals,Atul Ltd,15.75,Small Cap
115678,Axis ELSS Tax Saver Fund Direct Growth,Telecom,Bharti Airtel,8.93,Small Cap
115678,Axis ELSS Tax Saver Fund Direct Growth,IT,Infosys,11.34,Mid Cap
115678,Axis ELSS Tax Saver Fund Direct Growth,Auto,Bajaj Auto,10.84,Mid Cap
115678,Axis ELSS Tax Saver Fund Direct Growth,Insurance,SBI Life,8.39,Mid Cap
115678,Axis ELSS Tax Saver Fund Direct Growth,Banking,HDFC Bank,8.04,Mid Cap
115678,Axis ELSS Tax Saver Fund Direct Growth,Healthcare,Medanta,0.16,Small Cap
115678,Axis ELSS Tax Saver Fund Direct Growth,FMCG,Nestle India,14.41,Mid Cap
115678,Axis ELSS Tax Saver Fund Direct Growth,Metals,Vedanta,18.0,Small Cap
115678,Axis ELSS Tax Saver Fund Direct Growth,Infrastructure,IRB Infra,7.62,Small Cap
115678,Axis ELSS Tax Saver Fund Direct Growth,Pharma,Dr Reddy's,5.06,Large Cap
115678,Axis ELSS Tax Saver Fund Direct Growth,Power,Torrent Power,7.21,Small Cap
150345,UTI ELSS Tax Saver Fund Direct Growth,Energy,Coal India,11.2,Mid Cap
150345,UTI ELSS Tax Saver Fund Direct Growth,Pharma,Biocon,8.6,Large Cap
150345,UTI ELSS Tax Saver Fund Direct Growth,Metals,SAIL,10.0,Mid Cap
150345,UTI ELSS Tax Saver Fund Direct Growth,Insurance,Birla Sun Life,6.8,Large Cap
150345,UTI ELSS Tax Saver Fund Direct Growth,Auto,Hero MotoCorp,1.06,Large Cap
150345,UTI ELSS Tax Saver Fund Direct Growth,Banking,Axis Bank,3.52,Mid Cap
150345,UTI ELSS Tax Saver Fund Direct Growth,FMCG,Nestle India,4.8,Large Cap
150345,UTI ELSS Tax Saver Fund Direct Growth,Telecom,Indus Towers,4.99,Large Cap
150345,UTI ELSS Tax Saver Fund Direct Growth,Consumer Durables,Havells,4.03,Small Cap
150345,UTI ELSS Tax Saver Fund Direct Growth,Chemicals,UPL,2.07,Small Cap
150345,UTI ELSS Tax Saver Fund Direct Growth,Infrastructure,L&T,12.29,Small Cap
150345,UTI ELSS Tax Saver Fund Direct Growth,Power,Tata Power,10.53,Mid Cap
150345,UTI ELSS Tax Saver Fund Direct Growth,Real Estate,Prestige Estates,7.74,Mid Cap
150345,UTI ELSS Tax Saver Fund Direct Growth,IT,HCL Tech,2.0,Large Cap
150345,UTI ELSS Tax Saver Fund Direct Growth,Healthcare,Medanta,10.37,Mid Cap
127890,SBI Liquid Fund Direct Growth,Telecom,Tata Comm,10.16,Large Cap
127890,SBI Liquid Fund Direct Growth,Healthcare,Narayana Hrudayalaya,5.24,Small Cap
127890,SBI Liquid Fund Direct Growth,Power,Tata Power,7.66,Small Cap
127890,SBI Liquid Fund Direct Growth,Pharma,Sun Pharma,6.98,Large Cap
127890,SBI Liquid Fund Direct Growth,Insurance,Birla Sun Life,6.89,Mid Cap
127890,SBI Liquid Fund Direct Growth,Energy,Power Grid,15.62,Large Cap
127890,SBI Liquid Fund Direct Growth,Infrastructure,L&T,16.04,Large Cap
127890,SBI Liquid Fund Direct Growth,Auto,Hero MotoCorp,14.88,Large Cap
127890,SBI Liquid Fund Direct Growth,Metals,JSW Steel,16.54,Large Cap
134567,HDFC Liquid Fund Direct Growth,IT,Wipro,6.21,Small Cap
134567,HDFC Liquid Fund Direct Growth,Chemicals,SRF,4.73,Small Cap
134567,HDFC Liquid Fund Direct Growth,Insurance,Max Life,20.7,Small Cap
134567,HDFC Liquid Fund Direct Growth,Infrastructure,Adani Ports,2.3,Mid Cap
134567,HDFC Liquid Fund Direct Growth,Pharma,Dr Reddy's,12.64,Small Cap
134567,HDFC Liquid Fund Direct Growth,Energy,NTPC,4.74,Small Cap
134567,HDFC Liquid Fund Direct Growth,Power,Tata Power,10.14,Mid Cap
134567,HDFC Liquid Fund Direct Growth,Auto,Bajaj Auto,19.6,Large Cap
134567,HDFC Liquid Fund Direct Growth,Banking,SBI,18.95,Small Cap
121098,ICICI Pru Liquid Fund Direct Growth,Energy,NTPC,9.14,Large Cap
121098,ICICI Pru Liquid Fund Direct Growth,Banking,Axis Bank,5.74,Small Cap
121098,ICICI Pru Liquid Fund Direct Growth,IT,Tech Mahindra,6.88,Mid Cap
121098,ICICI Pru Liquid Fund Direct Growth,Healthcare,Max Healthcare,5.35,Small Cap
121098,ICICI Pru Liquid Fund Direct Growth,Chemicals,Pidilite,9.64,Mid Cap
121098,ICICI Pru Liquid Fund Direct Growth,FMCG,HUL,0.59,Large Cap
121098,ICICI Pru Liquid Fund Direct Growth,Metals,Tata Steel,1.9,Mid Cap
121098,ICICI Pru Liquid Fund Direct Growth,Telecom,Bharti Airtel,5.95,Mid Cap
121098,ICICI Pru Liquid Fund Direct Growth,Insurance,HDFC Life,10.63,Small Cap
121098,ICICI Pru Liquid Fund Direct Growth,Pharma,Sun Pharma,2.43,Small Cap
121098,ICICI Pru Liquid Fund Direct Growth,Real Estate,Sobha,11.22,Small Cap
121098,ICICI Pru Liquid Fund Direct Growth,Consumer Durables,Whirlpool,10.11,Small Cap
121098,ICICI Pru Liquid Fund Direct Growth,Auto,Hero MotoCorp,11.52,Mid Cap
121098,ICICI Pru Liquid Fund Direct Growth,Infrastructure,KNR Constructions,8.9,Small Cap
144321,SBI Gilt Fund Direct Growth,Healthcare,Fortis,22.25,Small Cap
144321,SBI Gilt Fund Direct Growth,Consumer Durables,Havells,3.35,Small Cap
144321,SBI Gilt Fund Direct Growth,Banking,HDFC Bank,4.64,Large Cap
144321,SBI Gilt Fund Direct Growth,Power,Adani Green,11.02,Large Cap
144321,SBI Gilt Fund Direct Growth,Insurance,HDFC Life,10.52,Large Cap
144321,SBI Gilt Fund Direct Growth,Real Estate,Oberoi Realty,11.71,Mid Cap
144321,SBI Gilt Fund Direct Growth,Telecom,Indus Towers,12.0,Mid Cap
144321,SBI Gilt Fund Direct Growth,Pharma,Cipla,24.52,Small Cap
136789,HDFC Gilt Fund Direct Growth,FMCG,HUL,6.67,Mid Cap
136789,HDFC Gilt Fund Direct Growth,Banking,ICICI Bank,12.0,Mid Cap
136789,HDFC Gilt Fund Direct Growth,Auto,Maruti Suzuki,8.14,Small Cap
136789,HDFC Gilt Fund Direct Growth,Power,JSW Energy,0.74,Large Cap
136789,HDFC Gilt Fund Direct Growth,Pharma,Dr Reddy's,9.47,Large Cap
136789,HDFC Gilt Fund Direct Growth,Real Estate,Prestige Estates,4.37,Mid Cap
136789,HDFC Gilt Fund Direct Growth,Infrastructure,Siemens,6.18,Small Cap
136789,HDFC Gilt Fund Direct Growth,Energy,Coal India,7.32,Large Cap
136789,HDFC Gilt Fund Direct Growth,Telecom,Bharti Airtel,7.46,Large Cap
136789,HDFC Gilt Fund Direct Growth,Consumer Durables,Bajaj Electricals,2.35,Small Cap
136789,HDFC Gilt Fund Direct Growth,Insurance,Max Life,12.94,Mid Cap
136789,HDFC Gilt Fund Direct Growth,Healthcare,Fortis,1.01,Small Cap
136789,HDFC Gilt Fund Direct Growth,IT,HCL Tech,12.69,Small Cap
136789,HDFC Gilt Fund Direct Growth,Metals,SAIL,4.74,Small Cap
136789,HDFC Gilt Fund Direct Growth,Chemicals,Pidilite,3.9,Mid Cap
152167,ICICI Pru Gilt Fund Direct Growth,FMCG,Nestle India,11.54,Large Cap
152167,ICICI Pru Gilt Fund Direct Growth,Auto,Bajaj Auto,9.03,Mid Cap
152167,ICICI Pru Gilt Fund Direct Growth,Power,JSW Energy,7.51,Mid Cap
152167,ICICI Pru Gilt Fund Direct Growth,Metals,Hindalco,2.83,Small Cap
152167,ICICI Pru Gilt Fund Direct Growth,Insurance,Birla Sun Life,4.93,Small Cap
152167,ICICI Pru Gilt Fund Direct Growth,Consumer Durables,Bajaj Electricals,2.66,Large Cap
152167,ICICI Pru Gilt Fund Direct Growth,IT,Wipro,8.85,Large Cap
152167,ICICI Pru Gilt Fund Direct Growth,Energy,ONGC,7.84,Small Cap
152167,ICICI Pru Gilt Fund Direct Growth,Real Estate,DLF,8.34,Large Cap
152167,ICICI Pru Gilt Fund Direct Growth,Telecom,Vodafone Idea,5.28,Large Cap
152167,ICICI Pru Gilt Fund Direct Growth,Pharma,Divis Labs,6.72,Mid Cap
152167,ICICI Pru Gilt Fund Direct Growth,Chemicals,UPL,3.69,Large Cap
152167,ICICI Pru Gilt Fund Direct Growth,Banking,Axis Bank,8.53,Mid Cap
152167,ICICI Pru Gilt Fund Direct Growth,Infrastructure,Siemens,1.63,Large Cap
152167,ICICI Pru Gilt Fund Direct Growth,Healthcare,Narayana Hrudayalaya,10.63,Small Cap
118765,SBI Corporate Bond Fund Direct Growth,Consumer Durables,Titan,1.02,Mid Cap
118765,SBI Corporate Bond Fund Direct Growth,Infrastructure,KNR Constructions,11.83,Small Cap
118765,SBI Corporate Bond Fund Direct Growth,Healthcare,Max Healthcare,1.59,Large Cap
118765,SBI Corporate Bond Fund Direct Growth,Auto,Maruti Suzuki,9.15,Mid Cap
118765,SBI Corporate Bond Fund Direct Growth,IT,Wipro,9.92,Large Cap
118765,SBI Corporate Bond Fund Direct Growth,Metals,JSW Steel,13.8,Small Cap
