category,month_year,net_inflow_cr
Liquid,2024-12-01,4566.81
Liquid,2025-01-01,1551.32
Liquid,2025-02-01,3494.9
Liquid,2025-03-01,1498.0
Liquid,2025-04-01,3471.95
Liquid,2025-05-01,-188.69
Liquid,2025-06-01,4407.74
Liquid,2025-07-01,4134.56
Liquid,2025-08-01,-276.72
Liquid,2025-09-01,4364.35
Liquid,2025-10-01,2605.47
Liquid,2025-11-01,4738.43
Liquid,2025-12-01,2884.56
Liquid,2026-01-01,-275.43
Liquid,2026-02-01,2547.65
Liquid,2026-03-01,-28.34
Liquid,2026-04-01,4775.2
Liquid,2026-05-01,4305.84
Gilt,2022-01-01,-60.77
Gilt,2022-02-01,-361.6
Gilt,2022-03-01,4218.85
Gilt,2022-04-01,3849.37
Gilt,2022-05-01,2708.99
Gilt,2022-06-01,183.62
Gilt,2022-07-01,2590.11
Gilt,2022-08-01,3700.2
Gilt,2022-09-01,4354.9
Gilt,2022-10-01,4730.2
Gilt,2022-11-01,1800.77
Gilt,2022-12-01,1350.32
Gilt,2023-01-01,-300.74
Gilt,2023-02-01,4822.41
Gilt,2023-03-01,2598.08
Gilt,2023-04-01,-137.7
Gilt,2023-05-01,1589.21
Gilt,2023-06-01,4364.47
Gilt,2023-07-01,4233.26
Gilt,2023-08-01,631.62
Gilt,2023-09-01,4616.92
Gilt,2023-10-01,52.29
Gilt,2023-11-01,3150.37
Gilt,2023-12-01,642.84
Gilt,2024-01-01,3091.26
Gilt,2024-02-01,565.45
Gilt,2024-03-01,1442.65
Gilt,2024-04-01,3372.32
Gilt,2024-05-01,4882.29
Gilt,2024-06-01,309.62
Gilt,2024-07-01,2208.23
Gilt,2024-08-01,3616.33
Gilt,2024-09-01,928.95
Gilt,2024-10-01,2513.84
Gilt,2024-11-01,1824.38
Gilt,2024-12-01,-475.55
Gilt,2025-01-01,1889.97
Gilt,2025-02-01,2269.52
Gilt,2025-03-01,4265.29
Gilt,2025-04-01,4782.97
Gilt,2025-05-01,686.69
Gilt,2025-06-01,4124.98
Gilt,2025-07-01,1426.44
Gilt,2025-08-01,3831.69
Gilt,2025-09-01,3976.61
Gilt,2025-10-01,973.73
Gilt,2025-11-01,1724.89
Gilt,2025-12-01,431.39
Gilt,2026-01-01,3687.59
Gilt,2026-02-01,4099.3
Gilt,2026-03-01,161.24
Gilt,2026-04-01,287.35
Gilt,2026-05-01,1359.69
Corporate Bond,2022-01-01,2053.19
Corporate Bond,2022-02-01,1362.36
Corporate Bond,2022-03-01,1311.61
Corporate Bond,2022-04-01,3898.74
Corporate Bond,2022-05-01,1207.86
Corporate Bond,2022-06-01,4802.42
Corporate Bond,2022-07-01,3918.92
Corporate Bond,2022-08-01,3665.06
Corporate Bond,2022-09-01,4735.73
Corporate Bond,2022-10-01,4998.72
Corporate Bond,2022-11-01,2010.63
Corporate Bond,2022-12-01,3050.57
Corporate Bond,2023-01-01,546.41
Corporate Bond,2023-02-01,-133.45
Corporate Bond,2023-03-01,612.78
Corporate Bond,2023-04-01,-191.29
Corporate Bond,2023-05-01,1532.71
Corporate Bond,2023-06-01,1426.01
Corporate Bond,2023-07-01,-242.99
Corporate Bond,2023-08-01,4869.73
Corporate Bond,2023-09-01,2716.81
Corporate Bond,2023-10-01,2214.5
Corporate Bond,2023-11-01,1405.34
Corporate Bond,2023-12-01,3131.02
Corporate Bond,2024-01-01,2918.66
Corporate Bond,2024-02-01,-122.26
Corporate Bond,2024-03-01,2090.93
Corporate Bond,2024-04-01,1531.57
Corporate Bond,2024-05-01,266.26
Corporate Bond,2024-06-01,57.8
Corporate Bond,2024-07-01,1329.61
Corporate Bond,2024-08-01,2440.61
Corporate Bond,2024-09-01,1805.24
Corporate Bond,2024-10-01,2028.79
Corporate Bond,2024-11-01,-249.74
Corporate Bond,2024-12-01,486.85
Corporate Bond,2025-01-01,-348.07
Corporate Bond,2025-02-01,3795.55
Corporate Bond,2025-03-01,2511.0
Corporate Bond,2025-04-01,4787.62
Corporate Bond,2025-05-01,2115.51
Corporate Bond,2025-06-01,962.67
Corporate Bond,2025-07-01,1762.02
Corporate Bond,2025-08-01,3031.68
Corporate Bond,2025-09-01,1084.18
Corporate Bond,2025-10-01,3321.73
Corporate Bond,2025-11-01,4660.87
Corporate Bond,2025-12-01,-168.12
Corporate Bond,2026-01-01,1080.52
Corporate Bond,2026-02-01,3064.96
Corporate Bond,2026-03-01,1695.82
Corporate Bond,2026-04-01,1353.02
Corporate Bond,2026-05-01,4757.67
Balanced Hybrid,2022-01-01,3806.21
Balanced Hybrid,2022-02-01,1290.06
Balanced Hybrid,2022-03-01,-250.34
Balanced Hybrid,2022-04-01,548.06
Balanced Hybrid,2022-05-01,2402.21
Balanced Hybrid,2022-06-01,831.4
Balanced Hybrid,2022-07-01,2139.81
Balanced Hybrid,2022-08-01,408.32
Balanced Hybrid,2022-09-01,692.93
Balanced Hybrid,2022-10-01,3601.02
Balanced Hybrid,2022-11-01,3037.37
Balanced Hybrid,2022-12-01,389.74
Balanced Hybrid,2023-01-01,4008.4
Balanced Hybrid,2023-02-01,2605.87
Balanced Hybrid,2023-03-01,3189.68
Balanced Hybrid,2023-04-01,1892.32
Balanced Hybrid,2023-05-01,2856.5
Balanced Hybrid,2023-06-01,2389.85
Balanced Hybrid,2023-07-01,-73.81
Balanced Hybrid,2023-08-01,4134.76
Balanced Hybrid,2023-09-01,3755.1
Balanced Hybrid,2023-10-01,744.5
Balanced Hybrid,2023-11-01,-412.71
Balanced Hybrid,2023-12-01,2392.87
Balanced Hybrid,2024-01-01,2963.39
Balanced Hybrid,2024-02-01,2737.34
Balanced Hybrid,2024-03-01,3086.18
Balanced Hybrid,2024-04-01,3861.38
Balanced Hybrid,2024-05-01,3164.25
Balanced Hybrid,2024-06-01,3075.78
Balanced Hybrid,2024-07-01,4948.16
Balanced Hybrid,2024-08-01,2180.13
Balanced Hybrid,2024-09-01,-271.71
Balanced Hybrid,2024-10-01,361.18
Balanced Hybrid,2024-11-01,3284.4
Balanced Hybrid,2024-12-01,448.67
Balanced Hybrid,2025-01-01,3680.59
Balanced Hybrid,2025-02-01,2427.77
Balanced Hybrid,2025-03-01,992.08
Balanced Hybrid,2025-04-01,-325.54
Balanced Hybrid,2025-05-01,4343.46
Balanced Hybrid,2025-06-01,3979.3
Balanced Hybrid,2025-07-01,4742.88
Balanced Hybrid,2025-08-01,4896.38
Balanced Hybrid,2025-09-01,1478.66
Balanced Hybrid,2025-10-01,4699.2
Balanced Hybrid,2025-11-01,964.53
Balanced Hybrid,2025-12-01,1065.36
Balanced Hybrid,2026-01-01,1912.89
Balanced Hybrid,2026-02-01,2253.67
Balanced Hybrid,2026-03-01,4595.79
Balanced Hybrid,2026-04-01,4041.37
Balanced Hybrid,2026-05-01,861.73
Aggressive Hybrid,2022-01-01,1265.31
Aggressive Hybrid,2022-02-01,1650.29
Aggressive Hybrid,2022-03-01,-288.18
Aggressive Hybrid,2022-04-01,2136.49
Aggressive Hybrid,2022-05-01,2368.46
Aggressive Hybrid,2022-06-01,1659.6
Aggressive Hybrid,2022-07-01,4561.59
Aggressive Hybrid,2022-08-01,552.92
Aggressive Hybrid,2022-09-01,2052.83
Aggressive Hybrid,2022-10-01,2433.51
Aggressive Hybrid,2022-11-01,4277.23
Aggressive Hybrid,2022-12-01,3442.12
Aggressive Hybrid,2023-01-01,2494.59
Aggressive Hybrid,2023-02-01,4465.24
Aggressive Hybrid,2023-03-01,1981.94
Aggressive Hybrid,2023-04-01,2817.28
Aggressive Hybrid,2023-05-01,4771.5
Aggressive Hybrid,2023-06-01,2009.59
Aggressive Hybrid,2023-07-01,78.93
Aggressive Hybrid,2023-08-01,562.02
Aggressive Hybrid,2023-09-01,-434.86
Aggressive Hybrid,2023-10-01,3090.76
Aggressive Hybrid,2023-11-01,775.55
Aggressive Hybrid,2023-12-01,3748.31
Aggressive Hybrid,2024-01-01,520.09
Aggressive Hybrid,2024-02-01,4965.12
Aggressive Hybrid,2024-03-01,1764.71
Aggressive Hybrid,2024-04-01,4090.23
Aggressive Hybrid,2024-05-01,4545.61
Aggressive Hybrid,2024-06-01,455.12
Aggressive Hybrid,2024-07-01,2140.76
Aggressive Hybrid,2024-08-01,1710.63
Aggressive Hybrid,2024-09-01,2235.76
Aggressive Hybrid,2024-10-01,725.74
Aggressive Hybrid,2024-11-01,679.43
Aggressive Hybrid,2024-12-01,421.05
Aggressive Hybrid,2025-01-01,2651.53
Aggressive Hybrid,2025-02-01,2992.4
Aggressive Hybrid,2025-03-01,-463.82
Aggressive Hybrid,2025-04-01,1355.12
Aggressive Hybrid,2025-05-01,3532.88
Aggressive Hybrid,2025-06-01,2410.19
Aggressive Hybrid,2025-07-01,2555.79
Aggressive Hybrid,2025-08-01,2593.56
Aggressive Hybrid,2025-09-01,-105.55
Aggressive Hybrid,2025-10-01,1449.61
Aggressive Hybrid,2025-11-01,4297.26
Aggressive Hybrid,2025-12-01,1950.94
Aggressive Hybrid,2026-01-01,4287.16
Aggressive Hybrid,2026-02-01,1932.79
Aggressive Hybrid,2026-03-01,3335.54
Aggressive Hybrid,2026-04-01,1772.49
Aggressive Hybrid,2026-05-01,3585.87
Index Funds,2022-01-01,-290.94
Index Funds,2022-02-01,1790.39
Index Funds,2022-03-01,456.35
Index Funds,2022-04-01,-81.14
Index Funds,2022-05-01,2861.74
Index Funds,2022-06-01,2456.53
Index Funds,2022-07-01,3480.78
Index Funds,2022-08-01,4933.48
Index Funds,2022-09-01,2783.2
Index Funds,2022-10-01,287.77
Index Funds,2022-11-01,4222.83
Index Funds,2022-12-01,1462.2
Index Funds,2023-01-01,4571.16
Index Funds,2023-02-01,1192.69
Index Funds,2023-03-01,1711.99
Index Funds,2023-04-01,2170.1
Index Funds,2023-05-01,4364.16
Index Funds,2023-06-01,3547.82
Index Funds,2023-07-01,2371.57
Index Funds,2023-08-01,760.41
Index Funds,2023-09-01,3288.6
Index Funds,2023-10-01,1665.26
Index Funds,2023-11-01,4406.0
Index Funds,2023-12-01,189.19
Index Funds,2024-01-01,405.17
Index Funds,2024-02-01,4284.16
Index Funds,2024-03-01,-204.87
Index Funds,2024-04-01,3569.87
Index Funds,2024-05-01,1721.15
Index Funds,2024-06-01,1880.19
Index Funds,2024-07-01,2641.07
Index Funds,2024-08-01,681.57
Index Funds,2024-09-01,1133.64
Index Funds,2024-10-01,492.4
Index Funds,2024-11-01,1369.08
Index Funds,2024-12-01,3444.21
Index Funds,2025-01-01,3120.08
Index Funds,2025-02-01,1657.36
Index Funds,2025-03-01,-339.84
Index Funds,2025-04-01,0.2
Index Funds,2025-05-01,1533.04
Index Funds,2025-06-01,1449.38
Index Funds,2025-07-01,1691.0
Index Funds,2025-08-01,-461.31
Index Funds,2025-09-01,483.84
Index Funds,2025-10-01,4525.19
Index Funds,2025-11-01,3129.53
Index Funds,2025-12-01,4309.02
Index Funds,2026-01-01,1631.65
Index Funds,2026-02-01,2324.94
Index Funds,2026-03-01,756.64
Index Funds,2026-04-01,4905.03
Index Funds,2026-05-01,2331.15
Sectoral - IT,2022-01-01,732.13
Sectoral - IT,2022-02-01,1898.29
Sectoral - IT,2022-03-01,3098.76
Sectoral - IT,2022-04-01,4356.51
Sectoral - IT,2022-05-01,3559.22
Sectoral - IT,2022-06-01,4145.86
Sectoral - IT,2022-07-01,1559.06
Sectoral - IT,2022-08-01,3937.51
Sectoral - IT,2022-09-01,3450.34
Sectoral - IT,2022-10-01,1643.73
Sectoral - IT,2022-11-01,1655.87
Sectoral - IT,2022-12-01,4295.94
Sectoral - IT,2023-01-01,2456.56
Sectoral - IT,2023-02-01,3767.62
Sectoral - IT,2023-03-01,2019.65
Sectoral - IT,2023-04-01,-141.12
Sectoral - IT,2023-05-01,1956.11
Sectoral - IT,2023-06-01,4818.78
Sectoral - IT,2023-07-01,1469.31
Sectoral - IT,2023-08-01,422.61
Sectoral - IT,2023-09-01,-115.74
Sectoral - IT,2023-10-01,977.29
Sectoral - IT,2023-11-01,3167.79
Sectoral - IT,2023-12-01,136.79
Sectoral - IT,2024-01-01,3468.14
Sectoral - IT,2024-02-01,4497.91
Sectoral - IT,2024-03-01,3819.81
Sectoral - IT,2024-04-01,2958.15
Sectoral - IT,2024-05-01,4305.15
Sectoral - IT,2024-06-01,2653.12
Sectoral - IT,2024-07-01,-376.5
Sectoral - IT,2024-08-01,-268.24
Sectoral - IT,2024-09-01,4441.67
Sectoral - IT,2024-10-01,3517.5
Sectoral - IT,2024-11-01,932.43
Sectoral - IT,2024-12-01,4290.28
Sectoral - IT,2025-01-01,124.7
Sectoral - IT,2025-02-01,4606.87
Sectoral - IT,2025-03-01,1826.43
Sectoral - IT,2025-04-01,2604.16
Sectoral - IT,2025-05-01,1388.96
Sectoral - IT,2025-06-01,2548.71
Sectoral - IT,2025-07-01,701.09
Sectoral - IT,2025-08-01,2087.53
Sectoral - IT,2025-09-01,2990.24
Sectoral - IT,2025-10-01,-231.67
Sectoral - IT,2025-11-01,1649.25
Sectoral - IT,2025-12-01,2320.27
Sectoral - IT,2026-01-01,3294.56
Sectoral - IT,2026-02-01,3238.43
Sectoral - IT,2026-03-01,4065.21
Sectoral - IT,2026-04-01,493.46
Sectoral - IT,2026-05-01,4372.24
Sectoral - Pharma,2022-01-01,4025.66
Sectoral - Pharma,2022-02-01,4297.19
Sectoral - Pharma,2022-03-01,738.43
Sectoral - Pharma,2022-04-01,4588.65
Sectoral - Pharma,2022-05-01,2173.39
Sectoral - Pharma,2022-06-01,280.34
Sectoral - Pharma,2022-07-01,1729.76
Sectoral - Pharma,2022-08-01,2458.17
Sectoral - Pharma,2022-09-01,2122.6
Sectoral - Pharma,2022-10-01,1665.86
Sectoral - Pharma,2022-11-01,1750.68
Sectoral - Pharma,2022-12-01,4606.12
Sectoral - Pharma,2023-01-01,355.96
Sectoral - Pharma,2023-02-01,-326.47
Sectoral - Pharma,2023-03-01,-188.24
Sectoral - Pharma,2023-04-01,986.79
Sectoral - Pharma,2023-05-01,3209.27
Sectoral - Pharma,2023-06-01,3766.66
Sectoral - Pharma,2023-07-01,4030.94
Sectoral - Pharma,2023-08-01,4400.08
Sectoral - Pharma,2023-09-01,1208.08
Sectoral - Pharma,2023-10-01,2356.62
Sectoral - Pharma,2023-11-01,868.79
Sectoral - Pharma,2023-12-01,3907.35
Sectoral - Pharma,2024-01-01,776.86
Sectoral - Pharma,2024-02-01,185.19
Sectoral - Pharma,2024-03-01,4271.32
Sectoral - Pharma,2024-04-01,4355.79
Sectoral - Pharma,2024-05-01,4385.87
Sectoral - Pharma,2024-06-01,2475.11
Sectoral - Pharma,2024-07-01,2297.75
Sectoral - Pharma,2024-08-01,3618.6
Sectoral - Pharma,2024-09-01,3013.45
Sectoral - Pharma,2024-10-01,1932.97
Sectoral - Pharma,2024-11-01,1251.02
Sectoral - Pharma,2024-12-01,2129.26
Sectoral - Pharma,2025-01-01,2264.95
Sectoral - Pharma,2025-02-01,1988.62
Sectoral - Pharma,2025-03-01,2945.88
Sectoral - Pharma,2025-04-01,4385.3
Sectoral - Pharma,2025-05-01,956.01
Sectoral - Pharma,2025-06-01,2345.18
Sectoral - Pharma,2025-07-01,3991.31
Sectoral - Pharma,2025-08-01,3929.22
Sectoral - Pharma,2025-09-01,1717.75
Sectoral - Pharma,2025-10-01,4182.03
Sectoral - Pharma,2025-11-01,20.32
Sectoral - Pharma,2025-12-01,3803.32
Sectoral - Pharma,2026-01-01,1224.62
Sectoral - Pharma,2026-02-01,4549.49
Sectoral - Pharma,2026-03-01,1195.3
Sectoral - Pharma,2026-04-01,1284.48
Sectoral - Pharma,2026-05-01,3833.79
Value,2022-01-01,1400.58
Value,2022-02-01,2793.75
Value,2022-03-01,346.3
Value,2022-04-01,3300.32
Value,2022-05-01,4469.98
Value,2022-06-01,4700.79
Value,2022-07-01,3915.09
Value,2022-08-01,4870.66
Value,2022-09-01,803.39
Value,2022-10-01,4182.72
Value,2022-11-01,2569.2
Value,2022-12-01,2228.98
Value,2023-01-01,1274.43
Value,2023-02-01,4392.26
Value,2023-03-01,1553.4
Value,2023-04-01,283.4
Value,2023-05-01,-343.7
Value,2023-06-01,752.78
Value,2023-07-01,34.12
Value,2023-08-01,2314.36
Value,2023-09-01,1383.85
Value,2023-10-01,654.15
Value,2023-11-01,549.06
Value,2023-12-01,1709.4
Value,2024-01-01,1323.57
Value,2024-02-01,1529.98
Value,2024-03-01,2983.24
Value,2024-04-01,1925.49
Value,2024-05-01,2315.79
Value,2024-06-01,4540.72
Value,2024-07-01,4894.16
Value,2024-08-01,59.09
Value,2024-09-01,1297.91
Value,2024-10-01,1462.67
Value,2024-11-01,4219.57
Value,2024-12-01,3584.96
Value,2025-01-01,1837.46
Value,2025-02-01,2006.4
Value,2025-03-01,3787.38
Value,2025-04-01,1546.89
Value,2025-05-01,2177.55
Value,2025-06-01,313.01
Value,2025-07-01,-265.91
Value,2025-08-01,2122.16
Value,2025-09-01,4104.69
Value,2025-10-01,4968.16
Value,2025-11-01,2695.0
Value,2025-12-01,3073.68
Value,2026-01-01,4536.91
Value,2026-02-01,4783.06
Value,2026-03-01,3997.66
Value,2026-04-01,348.23
Value,2026-05-01,3670.3
Dividend Yield,2022-01-01,4165.73
Dividend Yield,2022-02-01,4492.61
Dividend Yield,2022-03-01,1061.77
Dividend Yield,2022-04-01,1771.73
Dividend Yield,2022-05-01,2016.6
Dividend Yield,2022-06-01,1567.42
Dividend Yield,2022-07-01,1607.95
Dividend Yield,2022-08-01,2794.68
Dividend Yield,2022-09-01,53.71
Dividend Yield,2022-10-01,468.87
Dividend Yield,2022-11-01,3915.46
Dividend Yield,2022-12-01,2497.21
Dividend Yield,2023-01-01,1331.47
Dividend Yield,2023-02-01,2346.34
Dividend Yield,2023-03-01,3206.34
Dividend Yield,2023-04-01,4775.88
Dividend Yield,2023-05-01,871.41
Dividend Yield,2023-06-01,1229.16
Dividend Yield,2023-07-01,1217.4
Dividend Yield,2023-08-01,1416.79
Dividend Yield,2023-09-01,3706.36
Dividend Yield,2023-10-01,3834.34
Dividend Yield,2023-11-01,3336.9
Dividend Yield,2023-12-01,642.55
Dividend Yield,2024-01-01,4780.42
Dividend Yield,2024-02-01,2541.05
Dividend Yield,2024-03-01,1679.52
Dividend Yield,2024-04-01,557.17
Dividend Yield,2024-05-01,1369.21
Dividend Yield,2024-06-01,-124.43
Dividend Yield,2024-07-01,-181.65
Dividend Yield,2024-08-01,617.66
Dividend Yield,2024-09-01,3106.91
Dividend Yield,2024-10-01,3943.51
Dividend Yield,2024-11-01,4179.37
Dividend Yield,2024-12-01,576.17
Dividend Yield,2025-01-01,3903.73
Dividend Yield,2025-02-01,3368.54
Dividend Yield,2025-03-01,1492.54
Dividend Yield,2025-04-01,803.78
Dividend Yield,2025-05-01,2543.2
Dividend Yield,2025-06-01,4719.56
Dividend Yield,2025-07-01,2468.27
Dividend Yield,2025-08-01,1427.31
Dividend Yield,2025-09-01,3235.85
Dividend Yield,2025-10-01,3979.4
Dividend Yield,2025-11-01,2820.91
Dividend Yield,2025-12-01,4658.87
