amfi_code,scheme_name,category,overall_rank,composite_score,cagr_1yr,cagr_3yr,cagr_5yr,sharpe_ratio,sortino_ratio,alpha_annual,beta,r_squared,max_drawdown,expense_ratio_pct,score_3yr,score_sharpe,score_alpha,score_expense,score_mdd,score,cagr,fund_name
118632,Nippon India Large Cap Fund - Regular - Growth,Equity,11,66.79,0.3064400626776991,0.2316683331566471,,0.7588510310771438,1.0988795112458636,0.2182939790460864,-0.008353832126962,0.0001,-0.1741407508665723,1.51,66.66666666666666,82.05128205128204,74.35897435897436,38.46153846153847,56.41025641025641,66.79,0.2316683331566471,Nippon India Large Cap Fund - Regular - Growth
149323,DSP Midcap Fund - Regular - Growth,Equity,12,66.67,0.2516277556050701,0.2683214180503395,,0.8328852279505965,1.167793379907482,0.2659857754204304,-0.0025230046646992,0.0,-0.1724810575345138,1.61,74.35897435897436,87.17948717948718,82.05128205128204,5.128205128205128,53.84615384615385,66.67,0.2683214180503395,DSP Midcap Fund - Regular - Growth
101206,ABSL Frontline Equity Fund - Regular - Growth,Equity,13,60.64,0.4639762081638001,0.2791443824548782,,0.717408995989017,1.06390859680118,0.2139978477605121,0.021086316250128,0.0003,-0.1129159632932307,1.6,79.48717948717949,76.92307692307693,71.7948717948718,7.6923076923076925,20.51282051282051,60.64,0.2791443824548782,ABSL Frontline Equity Fund - Regular - Growth
118633,Nippon India Large Cap Fund - Direct - Growth,Equity,14,60.13,0.2796491899601721,0.2090628749818177,,0.3888288460001742,0.5886328565297931,0.1564383594816966,-0.0366390067186093,0.0011,-0.1862974313859551,0.72,64.1025641025641,48.71794871794872,46.15384615384615,87.17948717948718,64.1025641025641,60.13,0.2090628749818177,Nippon India Large Cap Fund - Direct - Growth
119552,SBI Bluechip Fund - Direct Plan - Growth,Equity,15,58.97,0.0839813790959496,0.1562131759118732,,0.6482414723266906,0.9265632920561692,0.1986859936686296,-0.0261593075135134,0.0006,-0.1180349350276429,0.66,43.58974358974359,66.66666666666666,64.1025641025641,92.3076923076923,25.64102564102564,58.97,0.1562131759118732,SBI Bluechip Fund - Direct Plan - Growth
125497,HDFC Top 100 Fund - Direct Plan - Growth,Equity,16,56.92,0.2834012814658861,0.1868927383334979,,0.5062729716095955,0.734797599748163,0.1772975492753176,0.0488204042595773,0.0018,-0.1520001305560639,0.92,53.84615384615385,56.41025641025641,61.53846153846154,66.66666666666666,43.58974358974359,56.92,0.1868927383334979,HDFC Top 100 Fund - Direct Plan - Growth
120506,ICICI Pru Value Discovery Fund - Regular - Growth,Equity,17,53.08,0.4776338461673368,0.1712938719222549,,0.4046154783292047,0.5781364061026485,0.1625385327998104,0.0418964627281197,0.0013,-0.1982565826298267,1.41,48.71794871794872,53.84615384615385,51.28205128205128,53.84615384615385,66.66666666666666,53.08,0.1712938719222549,ICICI Pru Value Discovery Fund - Regular - Growth
119093,Axis Bluechip Fund - Direct - Growth,Equity,18,52.31,0.2260113702421999,0.2084949102773661,,-0.0470732568107591,-0.0678998121000961,0.0823280129522209,0.0258832124400931,0.0006,-0.2175139637014822,0.75,61.53846153846154,30.76923076923077,30.76923076923077,82.05128205128204,76.92307692307693,52.31,0.2084949102773661,Axis Bluechip Fund - Direct - Growth
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Equity,19,51.28,0.116230879647589,0.1517872212164026,,0.6406730942266642,0.955767194381326,0.2087301008694233,-0.026387719943843,0.0005,-0.1527259422823477,1.52,41.02564102564102,64.1025641025641,66.66666666666666,33.33333333333333,46.15384615384615,51.28,0.1517872212164026,Mirae Asset Emerging Bluechip Fund - Regular - Growth
118635,Nippon India ETF Nifty 50 BeES,Equity,20,51.15,0.2468934588911586,0.203067247435623,,0.3931881969124055,0.5694261625753934,0.1513635464823924,-0.0014335213897801,0.0,-0.1165062450540909,0.89,56.41025641025641,51.28205128205128,43.58974358974359,69.23076923076923,23.07692307692308,51.15,0.203067247435623,Nippon India ETF Nifty 50 BeES
102887,UTI Flexi Cap Fund - Regular - Growth,Equity,21,49.49,0.1323786825807662,0.248495998786399,,0.3846373345033844,0.571857543023029,0.1621125679403325,0.0166826894377708,0.0002,-0.2153982711238322,1.64,69.23076923076923,46.15384615384615,48.71794871794872,0.0,74.35897435897436,49.49,0.248495998786399,UTI Flexi Cap Fund - Regular - Growth
120503,ICICI Pru Bluechip Fund - Regular - Growth,Equity,22,49.1,0.06475517757545,0.1414963979412551,,0.5165503915082101,0.7329158023031636,0.1770330236584407,-0.0402689523698206,0.0014,-0.1389786282306163,1.42,38.46153846153847,58.97435897435898,58.97435897435898,51.28205128205128,33.33333333333333,49.1,0.1414963979412551,ICICI Pru Bluechip Fund - Regular - Growth
102885,UTI Nifty 50 Index Fund - Regular - Growth,Equity,23,47.69,0.2147790810283136,0.2057640526386517,,0.5197971450361778,0.7729719235511073,0.1704875680341269,-0.0194867856894745,0.0004,-0.1085986215250232,1.57,58.97435897435898,61.53846153846154,53.84615384615385,15.384615384615383,15.384615384615383,47.69,0.2057640526386517,UTI Nifty 50 Index Fund - Regular - Growth
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,Equity,24,45.64,0.1382594161070904,0.1219598788704532,,0.1347978410610395,0.1929471272012592,0.1198910097121797,0.0090544126217391,0.0,-0.2111727956013211,0.78,35.8974358974359,35.8974358974359,35.8974358974359,76.92307692307693,71.7948717948718,45.64,0.1219598788704532,HDFC Mid-Cap Opportunities Fund - Direct - Growth
118634,Nippon India Small Cap Fund - Regular - Growth,Equity,25,44.36,0.1342656659420369,0.0765340946283545,,0.292343251010993,0.4113036004766502,0.1750072167561127,0.1034966369133759,0.0028,-0.2334488614483311,1.53,33.33333333333333,43.58974358974359,56.41025641025641,28.205128205128204,79.48717948717949,44.36,0.0765340946283545,Nippon India Small Cap Fund - Regular - Growth
149322,DSP Top 100 Equity Fund - Regular - Growth,Equity,26,40.51,0.1967079594658749,0.1847283228630942,,0.2396633677728517,0.3329520941712109,0.1317319022609943,-0.0040502711300065,0.0,-0.1484457691777174,1.54,51.28205128205128,38.46153846153847,41.02564102564102,23.07692307692308,38.46153846153847,40.51,0.1847283228630942,DSP Top 100 Equity Fund - Regular - Growth
120841,Kotak Bluechip Fund - Regular - Growth,Equity,27,39.62,0.1635332748019498,0.168787536366459,,0.2551174125622312,0.3766193408262903,0.1304292445070544,0.0363563990221997,0.0012,-0.1757361416468729,1.59,46.15384615384615,41.02564102564102,38.46153846153847,12.82051282051282,58.97435897435898,39.62,0.168787536366459,Kotak Bluechip Fund - Regular - Growth
119599,SBI Small Cap Fund - Direct Plan - Growth,Equity,28,32.44,0.0759088396268561,-0.0277372507215964,,-0.1361781118297037,-0.1900354205037956,0.0488242159455398,0.0620018043826716,0.001,-0.5257422117012851,0.72,5.128205128205128,23.07692307692308,10.256410256410255,87.17948717948718,100.0,32.44,-0.0277372507215964,SBI Small Cap Fund - Direct Plan - Growth
120842,Kotak Emerging Equity Fund - Regular - Growth,Equity,29,32.05,0.1858502694667485,0.0731365084372248,,-0.0581668114149225,-0.0806959676413179,0.0780443887615508,0.0180568742081181,0.0002,-0.2400351132627488,1.56,28.205128205128204,28.205128205128204,28.205128205128204,17.94871794871795,82.05128205128204,32.05,0.0731365084372248,Kotak Emerging Equity Fund - Regular - Growth
101207,ABSL Small Cap Fund - Regular - Growth,Equity,30,29.49,-0.2731928643554359,-0.0435233347907008,,0.052618136475855,0.0756683044515281,0.1089709190170453,-0.0652892478835152,0.0011,-0.3544691649336603,1.53,2.564102564102564,33.33333333333333,33.33333333333333,28.205128205128204,94.87179487179486,29.49,-0.0435233347907008,ABSL Small Cap Fund - Regular - Growth
120507,ICICI Pru Liquid Fund - Regular - Growth,Debt,31,27.82,0.0757761364967075,0.0741455913022146,,-3.65018387856848,-7.208233748898268,0.0674621041109953,-0.0004440926329707,0.0001,-0.0009773140045925,0.74,30.76923076923077,5.128205128205128,23.07692307692308,84.61538461538461,0.0,27.82,0.0741455913022146,ICICI Pru Liquid Fund - Regular - Growth
120844,Kotak Liquid Fund - Regular - Growth,Debt,32,26.92,0.0723711323112448,0.0669442529787083,,-4.000348969233409,-7.768003070332341,0.0645567749537599,-0.0004007442394784,0.0001,-0.0011629327956168,0.6,25.64102564102564,2.564102564102564,20.51282051282051,94.87179487179486,2.564102564102564,26.92,0.0669442529787083,Kotak Liquid Fund - Regular - Growth
118636,Nippon India Gilt Securities Fund - Regular - Growth,Debt,33,26.79,0.106928490949796,0.0413765114237687,,-0.8505789759662294,-1.2383022198784408,0.050747729999761,0.0012566742731558,0.0,-0.083163617636387,0.55,17.94871794871795,10.256410256410255,12.82051282051282,100.0,12.82051282051282,26.79,0.0413765114237687,Nippon India Gilt Securities Fund - Regular - Growth
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,Debt,34,25.38,0.0580149751325353,0.0581883684033084,,-0.7430986305648412,-1.045909778283203,0.0562089521663836,-0.0064138507282764,0.0004,-0.0432872892397009,0.77,20.51282051282051,12.82051282051282,15.384615384615383,79.48717948717949,10.256410256410255,25.38,0.0581883684033084,SBI Magnum Gilt Fund - Regular Plan - Growth
119095,Axis Small Cap Fund - Regular - Growth,Equity,35,24.87,-0.4691642433269499,-0.1134852205951374,,-0.1516581586164415,-0.216346009348283,0.0480159536377595,-0.066951174639292,0.0012,-0.5167775370852656,1.38,0.0,20.51282051282051,7.6923076923076925,56.41025641025641,97.43589743589745,24.87,-0.1134852205951374,Axis Small Cap Fund - Regular - Growth
100025,HDFC Short Term Debt Fund - Regular - Growth,Debt,36,22.95,0.035809888896108,0.0362472034579666,,-1.0399413574427758,-1.4612200367895027,0.0428179203150608,0.0011582183155281,0.0,-0.0430826382463634,0.56,15.384615384615383,7.6923076923076925,5.128205128205128,97.43589743589745,7.6923076923076925,22.95,0.0362472034579666,HDFC Short Term Debt Fund - Regular - Growth
101208,ABSL Liquid Fund - Regular - Growth,Debt,37,22.18,0.0733361477401299,0.0634429432825594,,-4.650400707150914,-8.741654278994412,0.0608614579578711,0.0002667096833823,0.0,-0.0016224980244717,0.79,23.07692307692308,0.0,17.94871794871795,74.35897435897436,5.128205128205128,22.18,0.0634429432825594,ABSL Liquid Fund - Regular - Growth
102886,UTI Mid Cap Fund - Regular - Growth,Equity,38,21.28,-0.1889924540464151,-0.0077414962961068,,-0.2948889128510891,-0.4205889785291457,0.0289693978663794,-0.0421250290218943,0.0009,-0.2800112356639287,1.51,7.6923076923076925,17.94871794871795,0.0,38.46153846153847,87.17948717948718,21.28,-0.0077414962961068,UTI Mid Cap Fund - Regular - Growth
100016,HDFC Top 100 Fund - Regular Plan - Growth,Equity,39,19.74,-0.0349769439025894,0.0071794679780359,,-0.3210192604995431,-0.4728224084369747,0.0374758076344328,-0.0582684314388089,0.0027,-0.247344408806733,1.55,12.82051282051282,15.384615384615383,2.564102564102564,20.51282051282051,84.61538461538461,19.74,0.0071794679780359,HDFC Top 100 Fund - Regular Plan - Growth
119092,Axis Bluechip Fund - Regular - Growth,Equity,40,18.21,-0.0082885322138904,0.003921956015878,,-0.1310091688396518,-0.1891883316951388,0.0689952982167755,0.0097307450011536,0.0001,-0.1440161790933726,1.64,10.256410256410255,25.64102564102564,25.64102564102564,0.0,35.8974358974359,18.21,0.003921956015878,Axis Bluechip Fund - Regular - Growth
