investor_id,age_group,gender,city_tier,annual_income_lakh,total_invested,num_transactions,avg_sip_amount
INV000073,18-25,Male,B30,5.5,389007,10,38900.7
INV000074,26-35,Female,T30,8.4,966394,11,87854.0
INV000075,36-45,Male,B30,27.2,522440,7,74634.28571428571
INV000076,56+,Female,T30,67.1,779077,9,86564.11111111111
INV000077,36-45,Male,T30,23.0,687684,2,343842.0
INV000078,26-35,Male,B30,20.2,797804,4,199451.0
INV000079,26-35,Male,T30,17.0,582247,9,64694.11111111111
INV000080,26-35,Male,T30,12.4,424500,5,84900.0
INV000081,36-45,Male,T30,31.0,1246072,11,113279.27272727272
INV000082,26-35,Female,B30,19.6,467544,9,51949.333333333336
INV000083,56+,Female,B30,42.0,93284,2,46642.0
INV000084,26-35,Male,T30,11.2,790760,7,112965.71428571429
INV000085,26-35,Female,T30,14.6,1103908,8,137988.5
INV000086,18-25,Female,B30,4.1,924447,12,77037.25
INV000087,36-45,Male,T30,56.2,1535954,10,153595.4
INV000088,26-35,Male,T30,20.4,456686,4,114171.5
INV000089,26-35,Female,T30,11.2,1902611,11,172964.63636363635
INV000090,26-35,Female,B30,23.7,1238312,7,176901.7142857143
INV000091,26-35,Male,T30,14.6,983083,12,81923.58333333333
INV000092,18-25,Female,T30,3.7,532320,5,106464.0
INV000093,36-45,Female,T30,59.0,938401,10,93840.1
INV000094,18-25,Male,T30,3.7,1072694,11,97517.63636363637
INV000095,18-25,Male,T30,6.5,1454422,9,161602.44444444444
INV000096,26-35,Female,T30,13.9,17236,2,8618.0
INV000097,18-25,Male,B30,6.0,956579,11,86961.72727272728
INV000098,36-45,Male,T30,33.8,263030,7,37575.71428571428
INV000099,36-45,Male,T30,43.5,609026,8,76128.25
INV000100,56+,Male,B30,57.2,1666238,8,208279.75
INV000101,26-35,Male,T30,20.8,1074030,12,89502.5
INV000102,26-35,Male,T30,21.9,833234,11,75748.54545454546
INV000103,26-35,Female,T30,18.2,812455,8,101556.875
INV000104,26-35,Male,T30,8.1,1570044,12,130837.0
INV000105,56+,Male,T30,41.4,609014,10,60901.4
INV000106,18-25,Female,B30,5.1,438624,4,109656.0
INV000107,26-35,Male,T30,14.7,689715,5,137943.0
INV000108,36-45,Male,B30,26.2,1510587,9,167843.0
INV000109,26-35,Female,T30,15.0,370528,10,37052.8
INV000110,46-55,Female,B30,85.3,16633,3,5544.333333333333
INV000111,56+,Male,T30,42.5,71275,2,35637.5
INV000112,26-35,Male,T30,20.5,374488,4,93622.0
INV000113,26-35,Female,T30,7.3,572762,9,63640.22222222222
INV000114,36-45,Male,T30,59.6,933047,4,233261.75
INV000115,36-45,Male,B30,16.6,734219,6,122369.83333333333
INV000116,18-25,Male,T30,3.2,476636,5,95327.2
INV000117,26-35,Female,T30,15.6,1343830,8,167978.75
INV000118,26-35,Male,T30,20.2,64549,6,10758.166666666666
INV000119,26-35,Female,T30,16.8,34154,2,17077.0
INV000120,26-35,Male,T30,24.4,47430,4,11857.5
INV000121,18-25,Male,T30,7.8,723039,4,180759.75
INV000122,36-45,Male,B30,50.0,46110,1,46110.0
INV000123,46-55,Male,T30,73.3,429370,9,47707.77777777778
INV000124,36-45,Female,B30,46.2,620700,6,103450.0
INV000125,36-45,Male,B30,35.6,766736,7,109533.71428571429
INV000126,26-35,Male,T30,19.4,358987,3,119662.33333333333
INV000127,18-25,Male,T30,7.3,624406,3,208135.33333333334
INV000128,36-45,Female,T30,50.9,833586,10,83358.6
INV000129,26-35,Female,B30,21.4,1611261,11,146478.27272727274
INV000130,56+,Female,T30,69.4,2281059,10,228105.9
INV000131,36-45,Female,T30,16.8,1926246,12,160520.5
INV000132,46-55,Female,T30,37.1,1102531,9,122503.44444444444
INV000133,26-35,Female,T30,11.5,470935,7,67276.42857142857
INV000134,36-45,Female,T30,50.2,14726,3,4908.666666666667
INV000135,18-25,Male,B30,5.7,65453,4,16363.25
INV000136,18-25,Male,T30,3.7,820,1,820.0
INV000137,26-35,Female,T30,12.0,1432382,9,159153.55555555556
INV000138,26-35,Male,T30,24.7,2106027,12,175502.25
INV000139,18-25,Female,T30,7.6,6583,1,6583.0
INV000140,56+,Male,B30,74.0,762552,4,190638.0
INV000141,26-35,Male,T30,22.1,8219,1,8219.0
INV000142,26-35,Male,T30,13.2,145769,1,145769.0
INV000143,26-35,Male,T30,23.8,597772,7,85396.0
INV000144,26-35,Male,T30,19.1,614283,6,102380.5
INV000145,26-35,Male,T30,9.3,788760,9,87640.0
INV000146,26-35,Male,T30,14.1,378075,8,47259.375
INV000147,26-35,Male,T30,15.7,577043,7,82434.71428571429
INV000148,18-25,Female,T30,3.5,323740,10,32374.0
INV000149,26-35,Male,T30,17.9,445493,1,445493.0
INV000150,18-25,Male,B30,3.5,675917,9,75101.88888888889
INV000151,18-25,Male,T30,5.1,999068,6,166511.33333333334
INV000152,56+,Female,B30,58.1,360590,2,180295.0
INV000153,26-35,Male,B30,14.1,1274163,10,127416.3
INV000154,36-45,Male,B30,51.3,1207941,9,134215.66666666666
INV000155,26-35,Female,B30,17.4,288188,8,36023.5
INV000156,46-55,Male,T30,29.1,611092,7,87298.85714285714
INV000157,18-25,Male,T30,4.8,132893,1,132893.0
INV000158,36-45,Male,B30,26.1,1335840,8,166980.0
INV000159,36-45,Male,T30,12.1,38250,3,12750.0
INV000160,36-45,Female,T30,26.8,684118,5,136823.6
INV000161,18-25,Female,T30,6.8,908572,9,100952.44444444444
INV000162,26-35,Female,T30,25.0,18379,2,9189.5
INV000163,46-55,Male,B30,70.4,820316,10,82031.6
INV000164,18-25,Male,B30,6.0,25253,6,4208.833333333333
INV000165,36-45,Female,T30,18.8,1305699,9,145077.66666666666
INV000166,26-35,Male,T30,24.4,724893,7,103556.14285714286
INV000167,56+,Male,T30,55.3,832173,9,92463.66666666667
INV000168,26-35,Male,T30,9.7,253235,3,84411.66666666667
INV000169,26-35,Male,T30,6.9,955776,12,79648.0
INV000170,36-45,Female,T30,12.4,191963,3,63987.666666666664
INV000171,18-25,Female,T30,6.2,498641,4,124660.25
INV000172,36-45,Male,T30,53.2,264205,5,52841.0
INV000173,26-35,Male,T30,7.6,1193694,11,108517.63636363637
INV000174,36-45,Male,T30,58.1,1006601,8,125825.125
INV000175,26-35,Male,T30,17.3,552311,12,46025.916666666664
INV000176,26-35,Male,T30,13.4,213899,5,42779.8
INV000177,26-35,Male,T30,17.6,1297837,11,117985.18181818182
INV000178,56+,Female,T30,43.0,8750,2,4375.0
INV000179,26-35,Male,B30,10.0,264872,6,44145.333333333336
INV000180,46-55,Female,B30,24.7,518114,8,64764.25
INV000181,36-45,Male,T30,36.2,1237265,10,123726.5
INV000182,36-45,Male,T30,38.1,686041,10,68604.1
INV000183,26-35,Male,B30,9.8,779515,12,64959.583333333336
INV000184,36-45,Male,T30,53.1,6111,1,6111.0
INV000185,46-55,Male,T30,50.3,14773,2,7386.5
INV000186,18-25,Male,T30,3.1,717823,2,358911.5
INV000187,56+,Male,T30,13.4,185221,1,185221.0
INV000188,46-55,Male,B30,79.0,511402,2,255701.0
INV000189,36-45,Male,T30,47.3,430516,6,71752.66666666667
INV000190,26-35,Female,T30,8.2,919360,8,114920.0
INV000191,26-35,Male,T30,23.1,873257,11,79387.0
INV000192,26-35,Male,B30,24.4,702787,8,87848.375
INV000193,26-35,Female,T30,11.6,1152639,9,128071.0
INV000194,36-45,Male,T30,21.6,1383163,12,115263.58333333333
INV000195,36-45,Female,B30,56.5,651434,10,65143.4
INV000196,26-35,Male,T30,17.9,450427,9,50047.444444444445
INV000197,18-25,Male,T30,6.9,673748,4,168437.0
INV000198,46-55,Male,T30,21.5,462,1,462.0
INV000199,36-45,Female,T30,15.7,737787,7,105398.14285714286
INV000200,18-25,Male,B30,4.0,1174752,7,167821.7142857143
INV000201,46-55,Male,T30,87.0,257189,10,25718.9
INV000202,18-25,Male,T30,4.1,423540,3,141180.0
INV000203,26-35,Male,B30,16.0,1119242,9,124360.22222222222
INV000204,36-45,Male,T30,17.7,1192888,7,170412.57142857142
INV000205,18-25,Male,B30,4.4,763652,10,76365.2
INV000206,26-35,Male,B30,9.8,616094,3,205364.66666666666
INV000207,26-35,Female,T30,18.0,66956,5,13391.2
INV000208,36-45,Male,T30,28.3,2572,1,2572.0
INV000209,18-25,Female,B30,5.7,58689,2,29344.5
INV000210,26-35,Male,T30,9.1,515430,9,57270.0
INV000211,26-35,Male,T30,17.0,808138,9,89793.11111111111
INV000212,36-45,Male,B30,54.3,365168,2,182584.0
INV000213,26-35,Male,T30,19.6,447781,6,74630.16666666667
INV000214,26-35,Female,T30,20.7,1345476,10,134547.6
INV000215,26-35,Female,B30,18.3,715932,9,79548.0
INV000216,26-35,Male,B30,21.9,201946,6,33657.666666666664
INV000217,56+,Male,T30,50.1,1591554,11,144686.72727272726
INV000218,36-45,Male,B30,18.8,8003,1,8003.0
INV000219,26-35,Male,T30,22.3,606953,5,121390.6
INV000220,36-45,Male,T30,48.1,214477,6,35746.166666666664
INV000221,36-45,Female,B30,46.2,690183,8,86272.875
INV000222,36-45,Male,T30,46.7,591433,6,98572.16666666667
INV000223,26-35,Male,T30,6.3,1429882,11,129989.27272727272
INV000224,26-35,Male,T30,23.6,461098,7,65871.14285714286
INV000225,56+,Male,T30,44.0,1295037,8,161879.625
INV000226,36-45,Female,T30,39.3,770094,8,96261.75
INV000227,36-45,Male,T30,29.1,742149,5,148429.8
INV000228,26-35,Male,T30,7.2,1139471,12,94955.91666666667
INV000229,26-35,Male,B30,11.0,351011,7,50144.42857142857
INV000230,18-25,Male,B30,3.3,871715,10,87171.5
INV000231,26-35,Female,B30,22.9,1384176,11,125834.18181818182
INV000232,26-35,Male,B30,15.7,281312,2,140656.0
INV000233,46-55,Male,T30,16.3,332214,2,166107.0
INV000234,26-35,Male,B30,23.8,1023999,7,146285.57142857142
INV000235,26-35,Male,T30,8.5,1555926,10,155592.6
INV000236,36-45,Male,T30,26.2,112217,8,14027.125
INV000237,36-45,Male,T30,43.0,383052,3,127684.0
INV000238,36-45,Male,T30,26.3,1046071,10,104607.1
INV000239,36-45,Female,B30,13.2,933691,11,84881.0
INV000240,26-35,Female,T30,6.8,122545,2,61272.5
INV000241,26-35,Female,T30,16.5,1587726,10,158772.6
INV000242,36-45,Male,B30,40.2,1205258,10,120525.8
INV000243,26-35,Male,T30,21.5,597733,8,74716.625
INV000244,26-35,Male,T30,24.9,1636852,9,181872.44444444444
INV000245,26-35,Male,B30,6.2,1278858,11,116259.81818181818
INV000246,26-35,Male,T30,19.7,54530,4,13632.5
INV000247,18-25,Male,T30,7.1,164460,1,164460.0
INV000248,36-45,Female,T30,28.6,485895,4,121473.75
INV000249,26-35,Male,B30,13.4,694554,8,86819.25
INV000250,46-55,Male,T30,41.6,107697,1,107697.0
INV000251,26-35,Male,B30,19.4,1185941,6,197656.83333333334
INV000252,46-55,Female,T30,24.4,1629324,10,162932.4
INV000253,26-35,Female,T30,7.2,406328,2,203164.0
INV000254,18-25,Female,T30,3.7,51387,2,25693.5
INV000255,26-35,Female,T30,19.9,563828,8,70478.5
INV000256,36-45,Male,T30,14.0,1910266,12,159188.83333333334
INV000257,36-45,Male,T30,27.9,1025371,8,128171.375
INV000258,26-35,Male,T30,11.6,11103,1,11103.0
INV000259,36-45,Male,B30,17.2,759815,9,84423.88888888889
INV000260,18-25,Male,T30,4.1,922766,12,76897.16666666667
INV000261,18-25,Male,T30,3.5,1663672,10,166367.2
INV000262,36-45,Male,T30,47.6,886465,12,73872.08333333333
INV000263,56+,Male,B30,21.8,361956,9,40217.333333333336
INV000264,36-45,Female,T30,30.6,64609,3,21536.333333333332
INV000265,36-45,Male,B30,14.1,482980,12,40248.333333333336
INV000266,56+,Male,T30,67.6,822551,7,117507.28571428571
INV000267,26-35,Male,T30,17.7,2202108,12,183509.0
INV000268,18-25,Female,T30,4.7,1146388,11,104217.09090909091
INV000269,46-55,Male,B30,47.3,326686,4,81671.5
INV000270,18-25,Male,T30,7.6,951377,6,158562.83333333334
INV000271,26-35,Female,B30,6.4,835693,6,139282.16666666666
INV000272,46-55,Male,B30,24.8,70152,4,17538.0
INV000273,46-55,Male,T30,93.4,11637,1,11637.0
INV000274,26-35,Male,B30,23.7,323960,6,53993.333333333336
INV000275,26-35,Male,B30,10.2,404646,4,101161.5
INV000276,36-45,Female,T30,38.3,464251,6,77375.16666666667
INV000277,46-55,Male,B30,28.1,4236,1,4236.0
INV000278,26-35,Male,T30,22.1,1422228,8,177778.5
INV000279,26-35,Male,T30,12.4,840511,12,70042.58333333333
INV000280,26-35,Female,B30,22.9,822770,12,68564.16666666667
INV000281,26-35,Male,T30,20.5,538049,4,134512.25
INV000282,36-45,Female,B30,55.7,664580,4,166145.0
INV000283,46-55,Male,T30,18.1,1591615,11,144692.27272727274
INV000284,26-35,Male,B30,7.0,775076,7,110725.14285714286
INV000285,18-25,Female,T30,3.6,681359,5,136271.8
INV000286,26-35,Female,T30,9.8,467468,7,66781.14285714286
INV000287,56+,Female,B30,15.9,461954,9,51328.22222222222
INV000288,26-35,Male,T30,10.1,1650419,9,183379.88888888888
INV000289,36-45,Male,T30,54.2,1389256,12,115771.33333333333
INV000290,26-35,Male,T30,17.9,704907,4,176226.75
INV000291,18-25,Female,T30,6.2,873779,9,97086.55555555556
INV000292,18-25,Male,T30,3.3,1291756,11,117432.36363636363
INV000293,26-35,Female,B30,19.3,1168787,12,97398.91666666667
INV000294,36-45,Female,B30,30.8,645749,7,92249.85714285714
INV000295,56+,Male,T30,76.0,195552,3,65184.0
INV000296,26-35,Male,T30,16.7,1706946,8,213368.25
INV000297,26-35,Male,T30,13.0,928050,9,103116.66666666667
INV000298,18-25,Male,B30,6.3,74176,6,12362.666666666666
INV000299,26-35,Male,T30,24.4,1337619,11,121601.72727272728
INV000300,18-25,Male,B30,3.8,14575,3,4858.333333333333
INV000301,56+,Male,T30,14.8,523438,7,74776.85714285714
INV000302,36-45,Male,T30,31.3,309373,2,154686.5
INV000303,18-25,Female,T30,5.0,670626,6,111771.0
INV000304,36-45,Male,T30,25.6,1265097,10,126509.7
INV000305,36-45,Male,B30,21.4,765008,9,85000.88888888889
INV000306,26-35,Female,T30,19.4,11664,3,3888.0
INV000307,18-25,Male,T30,7.8,1411626,7,201660.85714285713
INV000308,36-45,Male,T30,52.4,540841,7,77263.0
INV000309,26-35,Male,T30,18.1,1259367,12,104947.25
INV000310,36-45,Male,T30,58.4,1787399,12,148949.91666666666
INV000311,36-45,Male,B30,29.2,142879,4,35719.75
INV000312,18-25,Male,T30,7.1,1201938,8,150242.25
INV000313,18-25,Female,T30,3.1,655226,5,131045.2
INV000314,26-35,Male,T30,20.5,971772,9,107974.66666666667
INV000315,18-25,Male,T30,3.2,255784,5,51156.8
INV000316,46-55,Female,T30,39.5,118055,6,19675.833333333332
INV000317,36-45,Male,T30,50.2,392240,5,78448.0
INV000318,46-55,Female,B30,47.5,466640,8,58330.0
INV000319,56+,Male,T30,74.8,825578,9,91730.88888888889
INV000320,26-35,Male,B30,19.7,1910965,12,159247.08333333334
INV000321,26-35,Male,T30,24.2,1267701,12,105641.75
INV000322,18-25,Male,T30,5.9,431850,4,107962.5
INV000323,26-35,Female,T30,23.0,1068233,6,178038.83333333334
INV000324,26-35,Male,T30,8.0,356264,3,118754.66666666667
INV000325,26-35,Male,B30,20.9,44535,3,14845.0
INV000326,26-35,Female,B30,11.0,735272,6,122545.33333333333
INV000327,26-35,Male,B30,9.2,478040,4,119510.0
INV000328,26-35,Male,B30,19.6,541051,12,45087.583333333336
INV000329,18-25,Male,T30,6.5,5399,4,1349.75
INV000330,26-35,Female,B30,11.9,1544463,9,171607.0
INV000331,36-45,Male,T30,15.5,773534,11,70321.27272727272
INV000332,36-45,Female,T30,12.9,591213,6,98535.5
INV000333,26-35,Male,B30,14.8,694900,6,115816.66666666667
INV000334,56+,Male,T30,22.6,1770884,12,147573.66666666666
INV000335,26-35,Male,T30,11.6,1467810,11,133437.27272727274
INV000336,26-35,Male,T30,17.7,3390,2,1695.0
INV000337,56+,Female,B30,73.4,458922,7,65560.28571428571
INV000338,46-55,Female,T30,20.9,415921,4,103980.25
INV000339,26-35,Male,B30,22.3,1005552,10,100555.2
INV000340,26-35,Female,T30,21.4,347164,6,57860.666666666664
INV000341,26-35,Male,T30,19.6,475696,11,43245.09090909091
INV000342,36-45,Male,T30,49.6,7174,1,7174.0
INV000343,36-45,Male,T30,28.5,720449,4,180112.25
INV000344,36-45,Male,B30,56.7,1429887,10,142988.7
INV000345,56+,Male,B30,75.5,4370,1,4370.0
INV000346,26-35,Male,B30,22.0,1172985,6,195497.5
INV000347,18-25,Male,T30,7.7,133664,2,66832.0
INV000348,46-55,Female,B30,94.4,305135,4,76283.75
INV000349,18-25,Female,T30,3.8,1551948,11,141086.18181818182
INV000350,46-55,Male,T30,32.0,16928,2,8464.0
INV000351,56+,Female,T30,62.9,630255,8,78781.875
INV000352,46-55,Male,T30,21.1,247916,6,41319.333333333336
INV000353,26-35,Female,T30,24.6,500797,3,166932.33333333334
INV000354,26-35,Male,T30,21.2,974461,7,139208.7142857143
INV000355,26-35,Male,T30,16.7,55250,1,55250.0
INV000356,56+,Male,B30,71.7,770550,8,96318.75
INV000357,26-35,Male,B30,24.5,379725,5,75945.0
INV000358,26-35,Male,B30,7.2,333640,2,166820.0
INV000359,18-25,Male,T30,3.1,147644,10,14764.4
INV000360,36-45,Female,T30,55.3,1465276,9,162808.44444444444
INV000361,46-55,Male,T30,27.1,1297014,6,216169.0
INV000362,26-35,Male,T30,10.9,501758,2,250879.0
INV000363,26-35,Male,B30,22.6,355671,8,44458.875
INV000364,26-35,Male,T30,9.1,443905,4,110976.25
INV000365,46-55,Male,T30,67.2,44320,1,44320.0
INV000366,36-45,Male,T30,55.4,688501,8,86062.625
INV000367,36-45,Male,T30,38.5,143245,5,28649.0
INV000368,26-35,Male,B30,16.2,357375,2,178687.5
INV000369,26-35,Male,T30,20.7,427741,8,53467.625
INV000370,26-35,Female,T30,12.4,554406,6,92401.0
INV000371,26-35,Male,B30,14.6,540463,11,49133.0
INV000372,36-45,Male,T30,12.4,728695,10,72869.5
INV000373,26-35,Male,T30,8.0,318848,3,106282.66666666667
INV000374,18-25,Female,T30,4.1,1367561,8,170945.125
INV000375,36-45,Male,T30,18.1,268483,1,268483.0
INV000376,18-25,Male,T30,3.0,526293,3,175431.0
INV000377,26-35,Male,T30,19.8,1199665,8,149958.125
INV000378,26-35,Male,B30,8.7,867796,6,144632.66666666666
INV000379,46-55,Male,T30,52.0,405119,4,101279.75
INV000380,56+,Male,T30,24.2,263416,7,37630.857142857145
INV000381,36-45,Female,T30,41.2,169253,2,84626.5
INV000382,26-35,Male,T30,20.5,240733,2,120366.5
INV000383,26-35,Female,T30,23.4,1064317,10,106431.7
INV000384,18-25,Female,B30,6.5,642851,7,91835.85714285714
INV000385,18-25,Female,B30,7.5,211287,5,42257.4
INV000386,36-45,Male,B30,14.2,57205,1,57205.0
INV000387,36-45,Male,T30,53.8,1638380,9,182042.22222222222
INV000388,36-45,Male,B30,33.6,499712,10,49971.2
INV000389,46-55,Male,T30,50.2,140056,6,23342.666666666668
INV000390,26-35,Male,T30,24.9,1090714,8,136339.25
INV000391,18-25,Male,T30,6.3,868,1,868.0
INV000392,26-35,Female,T30,16.6,1364227,12,113685.58333333333
INV000393,36-45,Male,T30,53.1,1630709,7,232958.42857142858
INV000394,26-35,Male,T30,12.2,1528067,11,138915.18181818182
INV000395,18-25,Male,T30,3.4,353000,9,39222.22222222222
INV000396,46-55,Male,T30,38.5,1713946,12,142828.83333333334
INV000397,36-45,Female,T30,25.4,704094,6,117349.0
INV000398,46-55,Male,T30,28.2,368513,2,184256.5
INV000399,26-35,Male,T30,14.3,273222,11,24838.363636363636
INV000400,26-35,Male,T30,22.1,1124301,10,112430.1
INV000401,26-35,Male,B30,20.5,50948,4,12737.0
INV000402,18-25,Male,T30,4.8,929661,7,132808.7142857143
INV000403,18-25,Female,T30,7.7,1849245,11,168113.18181818182
INV000404,36-45,Female,T30,35.5,61736,2,30868.0
INV000405,56+,Female,B30,8.6,246813,3,82271.0
INV000406,26-35,Male,T30,20.8,165780,2,82890.0
INV000407,36-45,Male,B30,32.8,444857,8,55607.125
INV000408,56+,Male,B30,62.3,166194,7,23742.0
INV000409,26-35,Male,T30,10.7,201679,4,50419.75
INV000410,18-25,Female,T30,5.3,1084023,8,135502.875
INV000411,26-35,Female,T30,11.1,359572,6,59928.666666666664
INV000412,18-25,Male,B30,7.4,192321,9,21369.0
INV000413,36-45,Female,T30,49.8,688437,10,68843.7
INV000414,36-45,Male,T30,21.9,872507,11,79318.81818181818
INV000415,36-45,Female,T30,20.3,270002,10,27000.2
INV000416,26-35,Male,B30,6.8,4016,2,2008.0
INV000417,26-35,Female,T30,13.5,716138,7,102305.42857142857
INV000418,26-35,Female,T30,13.6,1045868,9,116207.55555555556
INV000419,56+,Female,T30,27.6,330546,5,66109.2
INV000420,26-35,Male,T30,11.7,15774,1,15774.0
INV000421,36-45,Male,T30,31.9,1113182,7,159026.0
INV000422,46-55,Male,B30,94.1,4429,1,4429.0
INV000423,26-35,Female,T30,6.2,15602,3,5200.666666666667
INV000424,36-45,Male,B30,49.4,453564,2,226782.0
INV000425,56+,Male,T30,77.2,1344456,7,192065.14285714287
INV000426,18-25,Male,T30,3.6,365216,3,121738.66666666667
INV000427,56+,Female,B30,18.6,1139710,11,103610.0
INV000428,36-45,Male,T30,27.2,984414,11,89492.18181818182
INV000429,36-45,Female,T30,41.7,663655,8,82956.875
INV000430,18-25,Male,B30,3.3,587853,6,97975.5
INV000431,18-25,Female,B30,4.6,1046507,8,130813.375
INV000432,18-25,Female,T30,6.7,908220,7,129745.71428571429
INV000433,36-45,Male,B30,56.4,31556,5,6311.2
INV000434,46-55,Male,T30,28.1,2353,1,2353.0
INV000435,56+,Male,B30,57.0,59022,1,59022.0
INV000436,26-35,Male,T30,14.4,289593,6,48265.5
INV000437,26-35,Female,T30,6.1,839479,9,93275.44444444444
INV000438,26-35,Male,T30,11.6,160823,4,40205.75
INV000439,56+,Male,B30,23.4,1803813,12,150317.75
INV000440,18-25,Male,B30,6.7,999123,12,83260.25
INV000441,26-35,Female,T30,8.3,591940,8,73992.5
INV000442,26-35,Male,T30,16.2,309021,4,77255.25
INV000443,26-35,Male,T30,18.7,392758,5,78551.6
INV000444,36-45,Female,T30,42.1,925543,11,84140.27272727272
INV000445,26-35,Female,B30,24.7,90603,11,8236.636363636364
INV000446,26-35,Female,T30,23.8,1160735,10,116073.5
INV000447,36-45,Female,T30,37.2,348979,1,348979.0
INV000448,18-25,Male,T30,3.4,1111616,5,222323.2
INV000449,18-25,Male,B30,6.8,557811,8,69726.375
INV000450,26-35,Female,T30,18.4,433111,2,216555.5
INV000451,46-55,Male,T30,23.4,645705,2,322852.5
INV000452,26-35,Male,B30,18.1,511792,12,42649.333333333336
INV000453,46-55,Male,B30,40.4,777404,8,97175.5
INV000454,18-25,Female,T30,6.6,405276,6,67546.0
INV000455,18-25,Male,T30,3.2,565404,3,188468.0
INV000456,26-35,Male,B30,17.2,113067,6,18844.5
INV000457,26-35,Female,B30,22.3,1265388,12,105449.0
INV000458,56+,Male,B30,18.9,1520950,12,126745.83333333333
INV000459,26-35,Female,T30,21.5,387405,5,77481.0
